,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP
0,14849,2021-03-10 14:40:47,22.7584,29.5936,26.2081,14.689,26.0051,26.0389,26.5127,12.1608,24.5504,26.9188,26.5803,26.1743,26.0051,23.7726,27.2911,27.6973,27.8327,27.4265,27.2911,982.13,-0.25497,-0.0004349708550381325,3.82021388926686,1.313497314453125,2.9084232122320977
1,14851,2021-03-10 14:40:50,22.6908,29.5936,26.1404,14.6553,26.0051,26.0728,26.6142,12.1271,24.6181,27.0203,26.5803,26.1404,26.0389,23.8064,27.325,27.7312,27.6973,27.5281,27.2234,982.13,1.32313,0.0022057552606135366,3.896967521793148,1.307876953125,2.951059796281457
2,14853,2021-03-10 14:40:54,22.7246,29.5936,26.0728,14.689,25.9712,26.1066,26.5803,12.1608,24.5166,27.0203,26.648,26.1743,26.0051,23.8403,27.325,27.765,27.7989,27.3927,27.2234,979.768,1.32313,0.002411250170082571,3.9635157633737186,1.3083309326171875,2.9858717610555394
3,14855,2021-03-10 14:40:57,22.7246,29.5936,26.1066,14.689,25.9712,26.0728,26.5127,12.1271,24.5843,26.9526,26.6819,26.2081,26.0051,23.9417,27.3588,27.6973,27.7989,27.4942,27.3588,986.854,2.11217,0.0036031262799402644,3.9538558927714793,1.3084862060546876,2.9948229232838157
4,14857,2021-03-10 14:41:01,22.7246,29.6275,26.2081,14.6216,25.9712,26.1066,26.5803,12.0934,24.5504,27.0542,26.6819,26.2419,26.0389,23.9755,27.3588,27.765,27.6973,27.4604,27.2234,982.13,1.32313,0.0023598813215928555,3.858645381830088,1.309065673828125,2.9830233782021627
5,14859,2021-03-10 14:41:04,22.7246,29.6614,26.1743,14.6216,25.9374,26.0728,26.6142,12.0597,24.5843,26.9865,26.6819,26.2758,26.0051,24.0093,27.3588,27.6973,27.7312,27.3927,27.2234,989.216,2.11217,0.0036031262799402644,3.963432966285775,1.308404296875,2.9903144477584513
6,14861,2021-03-10 14:41:08,22.7246,29.6275,26.1404,14.6216,25.9374,26.1404,26.5803,12.0934,24.6519,27.088,26.7496,26.2081,26.0389,24.0093,27.3588,27.7312,27.765,27.5619,27.1896,984.492,2.90122,0.004948692383343531,3.9445055961939706,1.3073614501953126,3.130965692923035
7,14863,2021-03-10 14:41:11,22.7584,29.6275,26.0728,14.5879,25.9374,26.1404,26.5127,12.026,24.6181,27.0542,26.7496,26.2758,26.0051,24.077,27.3927,27.7312,27.7989,27.5619,27.2911,989.216,1.32313,0.0023082568455571485,4.040080050630119,1.307557373046875,3.126028109421766
8,14865,2021-03-10 14:41:14,22.6908,29.6953,26.0728,14.5541,25.9712,26.1404,26.6142,12.026,24.6519,27.1219,26.7834,26.3096,26.0389,24.1108,27.4265,27.7312,27.9343,27.4942,27.325,984.492,1.32313,0.0022568999776553743,4.097855711106179,1.309476806640625,3.018520018050596
9,14867,2021-03-10 14:41:18,22.7246,29.6953,26.0728,14.5541,25.9712,26.1743,26.5803,12.026,24.6857,27.088,26.7834,26.3096,26.0051,24.1446,27.3927,27.765,27.9343,27.5281,27.2234,984.492,1.32313,0.002256945494019952,4.097666118612213,1.3099593505859375,3.1266352966058872
