,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
478,51.69415448250969,25.072781833685635,22.73177614021461,19.61194803398979,16.23735366933852,12.626873864025313,11.391107396423429,11.083670965768352,10.623946736119207,12.626873864025313
479,52.8428151064437,24.87933873755977,22.54345030917745,19.59252691163937,15.58781401214329,12.614163766874023,11.841768522549339,10.308166569234611,10.613696400770289,12.769496749838405
480,53.93989671429726,24.82981273764158,22.498920384621893,20.040813500491634,16.031410419792692,12.74470944361915,12.12696899364488,10.593221491282534,10.745696320431954,12.74470944361915
481,54.28731049918835,24.973004058092396,22.31202859025215,19.696697806663405,15.70008906158106,13.66312405085066,11.961449842683727,10.126975987146116,10.58344602255758,12.577922419411113
482,54.57513246766782,24.92339931005458,22.432649842598156,19.819954196522392,16.45901965510583,12.554035097558666,11.631913184337511,10.107515561762915,10.411217940519386,12.39964282170558
483,54.71906479342513,24.898877391212533,22.410782593214403,19.800831390960276,16.127255626721798,12.696278799752402,11.92725519954287,10.857259639024015,10.553359993271444,12.696278799752402
484,55.20893315191978,24.84955382388744,22.366268446471427,19.92363624688353,16.096265109860592,13.908048992887174,12.057720493087432,10.98873669034197,10.381245176265361,12.671760247711791
485,55.00612658389999,24.68277817202306,22.038390027817083,19.76227420692535,15.467344919197885,12.671760247711791,11.751436053234185,10.836851223959822,10.22998847787201,12.364193093780967
486,55.089528829166206,24.633997465786972,22.322404462128752,19.5625337474124,15.907995950153987,13.108739826824603,11.881373768031851,9.908510469370114,10.361808828142717,12.494000135246356
487,54.971044280597724,24.75188221775656,22.279121696609373,19.525013453550894,16.663152024766276,13.546283232069923,12.011811397679491,10.795778411289815,10.644649036221333,12.470380990643907
488,54.50847968044175,24.726776911943084,22.257124219517895,19.345237577017816,16.489384220942366,13.225280492072105,11.847612662393477,10.785467863009337,10.483217647862217,12.458413423894834
489,54.44975780659353,24.536914735844974,22.235103094094924,19.326730551911677,16.63076132786109,13.828486518079899,11.836687396755753,10.322672622918907,10.624313842008698,12.293870664223629
490,54.53395197714642,24.654040629004722,22.354560803765036,19.1298924268005,18.017160271456405,14.110196628746033,11.814034123540205,10.453671478428202,10.453671478428202,12.423019535874053
491,54.475342400600816,24.464842418973838,22.332971214583218,19.27099936169449,17.36866056093806,13.022018822313298,11.803168556587183,11.046448420800205,10.44370065768374,12.411102835216926
492,54.21685347661472,24.441046729066695,22.474090283612046,19.411983085977,17.667047318082783,13.315624834491677,11.640547066857582,10.283816860559396,10.584275584855169,12.39965614985889
