,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW
0,2030,2021-02-11 08:46:32,18.4681,22.8598,20.5619,18.8732,21.1024,22.6232,19.2109,18.8395,19.2447,22.488,22.0824,21.3389,20.8321,20.3592,23.164,23.3331,23.1979,23.0964,22.995,-5.187740468238238,0.5340774213713702,0.0020829676440047564,-0.013775585687267371
1,2031,2021-02-11 08:46:34,18.4681,22.8598,20.5281,18.8732,21.1024,22.6232,19.1771,18.8395,19.2447,22.488,22.0824,21.3727,20.8659,20.3254,23.164,23.2993,23.1979,23.0626,22.9612,4.260273039056376,2.9012208599907954,0.011315118253745432,0.011479178593678233
2,2032,2021-02-11 08:46:36,18.4681,22.8598,20.5619,18.8395,21.1024,22.6232,19.2109,18.8395,19.2784,22.488,22.0824,21.3727,20.8659,20.3592,23.164,23.2993,23.2317,23.0626,22.995,-0.4637337145910134,1.3231252342444757,0.005108648815693851,-0.0012314038376697626
3,2033,2021-02-11 08:46:37,18.4681,22.8598,20.5281,18.8395,21.1024,22.6232,19.2109,18.8395,19.2447,22.488,22.0824,21.3727,20.8659,20.3592,23.164,23.2993,23.1979,23.0626,22.9612,-2.825737091414544,-0.25497039150178974,-0.0009944158925755393,-0.007613864283757984
4,2035,2021-02-11 08:46:41,18.4681,22.8598,20.5281,18.8732,21.1362,22.6232,19.2109,18.8395,19.2784,22.488,22.0824,21.3389,20.8659,20.3254,23.1979,23.2993,23.2317,23.0626,22.9612,4.260273039056376,1.3231252342444757,0.005108648815693851,0.011479178593678233
5,2037,2021-02-11 08:46:44,18.5018,22.8598,20.5281,18.8732,21.1024,22.5894,19.1771,18.8395,19.2784,22.488,22.0824,21.3727,20.8659,20.3254,23.1302,23.2993,23.1979,23.0288,22.995,-0.4637337145910134,-0.25497039150178974,-0.0009745045556928357,-0.001249461127214769
6,2038,2021-02-11 08:46:46,18.5018,22.826,20.5281,18.8732,21.1362,22.6232,19.2109,18.8395,19.2784,22.488,22.0824,21.3727,20.8997,20.3254,23.164,23.2993,23.2317,23.0626,22.9612,4.260273039056376,1.3231252342444757,0.005108648815693851,0.011312275252054232
7,2040,2021-02-11 08:46:49,18.5018,22.8598,20.5281,18.8395,21.1024,22.6232,19.2109,18.8395,19.2784,22.488,22.0824,21.3727,20.8997,20.3254,23.1979,23.2993,23.1979,23.0964,22.995,4.260273039056376,2.1121730471176354,0.008155199565715662,0.011478668438667846
8,2041,2021-02-11 08:46:51,18.4681,22.826,20.4943,18.8395,21.1024,22.5894,19.2109,18.8395,19.2447,22.488,22.0824,21.3727,20.8659,20.3592,23.164,23.2993,23.1979,23.0964,22.995,1.898269662232681,0.5340774213713702,0.0020621287195212996,0.005114830967866011
9,2042,2021-02-11 08:46:53,18.5018,22.826,20.5281,18.8732,21.1024,22.6232,19.2447,18.8395,19.2447,22.488,22.0824,21.3727,20.8659,20.3254,23.164,23.3331,23.1979,23.0626,22.9612,6.622276415880069,1.3231252342444757,0.005160351180584841,0.0175840874340334
10,2043,2021-02-11 08:46:55,18.4681,22.8598,20.5281,18.8732,21.1362,22.6232,19.2109,18.8057,19.2447,22.488,22.0824,21.3727,20.8659,20.3254,23.1979,23.2993,23.1979,23.0288,22.995,4.260273039056376,1.3231252342444757,0.005160351180584841,0.011479178593678233
11,2045,2021-02-11 08:46:58,18.4681,22.826,20.5281,18.8732,21.1024,22.6232,19.2109,18.8395,19.2784,22.488,22.0824,21.3727,20.8659,20.3254,23.1979,23.3331,23.2317,23.0626,22.995,1.898269662232681,1.3231252342444757,0.005108648815693851,0.005040687087129267
12,2046,2021-02-11 08:47:00,18.5018,22.826,20.5281,18.8395,21.1024,22.5894,19.2109,18.8395,19.2784,22.488,22.1162,21.3727,20.8659,20.3254,23.1979,23.3331,23.1979,23.0626,22.995,4.260273039056376,2.9012208599907954,0.01108855396298935,0.011312275252054232
13,2047,2021-02-11 08:47:02,18.4681,22.8598,20.5281,18.8395,21.1024,22.6232,19.2109,18.8395,19.2447,22.488,22.0824,21.3727,20.8659,20.3254,23.164,23.3331,23.1979,23.0626,22.995,-0.4637337145910134,-0.25497039150178974,-0.0009944158925755393,-0.0012495166579462068
14,2049,2021-02-11 08:47:05,18.4681,22.8598,20.5281,18.8395,21.1024,22.5894,19.2109,18.8395,19.2447,22.488,22.0824,21.3389,20.8659,20.3592,23.1302,23.2993,23.2317,23.0626,22.995,-2.825737091414544,1.3231252342444757,0.005108724757644552,-0.007613864283757984
15,2050,2021-02-11 08:47:07,18.4681,22.8598,20.5281,18.8395,21.1024,22.5894,19.2109,18.8395,19.2784,22.488,22.0824,21.3727,20.8659,20.3592,23.164,23.2993,23.2317,23.0626,22.9612,1.898269662232681,-0.25497039150178974,-0.0009745045556928357,0.005114830967866011
16,2052,2021-02-11 08:47:10,18.4681,22.826,20.5281,18.8732,21.1024,22.6232,19.1771,18.8057,19.2784,22.488,22.0824,21.3389,20.8659,20.3254,23.164,23.2993,23.1979,23.0626,22.9612,-0.4637337145910134,-0.25497039150178974,-0.000984452684349561,-0.0012314038376697643
17,2053,2021-02-11 08:47:12,18.4681,22.826,20.5281,18.8395,21.1024,22.6232,19.2109,18.8395,19.2447,22.488,22.0824,21.3389,20.8997,20.3254,23.164,23.3331,23.1979,23.0626,22.995,1.898269662232681,2.9012208599907954,0.011315118253745432,0.005040687087129267
18,2054,2021-02-11 08:47:14,18.4681,22.826,20.5281,18.8395,21.1024,22.5894,19.2109,18.8395,19.2447,22.5218,22.0486,21.3389,20.8659,20.3592,23.164,23.2993,23.1979,23.0626,22.9612,-0.4637337145910134,-0.25497039150178974,-0.0009844673186021628,-0.0012314038376697643
19,2055,2021-02-11 08:47:15,18.4681,22.826,20.5281,18.8395,21.1024,22.6232,19.2447,18.8395,19.2447,22.488,22.0824,21.3727,20.8659,20.3592,23.164,23.2993,23.1979,23.0626,22.995,1.898269662232681,2.1121730471176354,0.008237734717165136,0.005040687087129267
20,2057,2021-02-11 08:47:19,18.5018,22.826,20.5281,18.8732,21.1024,22.6232,19.2109,18.8395,19.2447,22.488,22.0824,21.3727,20.8659,20.3592,23.164,23.2993,23.1979,23.0626,22.9612,-2.825737091414544,-0.25497039150178974,-0.0009944158925755393,-0.00750316129388285
21,2058,2021-02-11 08:47:21,18.4681,22.8598,20.4943,18.8732,21.1024,22.5894,19.2109,18.8395,19.2784,22.488,22.0824,21.3727,20.8659,20.3254,23.164,23.2993,23.2317,23.0288,22.995,1.898269662232681,2.9012208599907954,0.01108855396298935,0.005188974848602756
22,2059,2021-02-11 08:47:22,18.4681,22.8598,20.5281,18.8732,21.1024,22.5894,19.2109,18.8395,19.2784,22.488,22.0824,21.3727,20.8321,20.3254,23.164,23.3331,23.2317,23.0626,22.9612,-2.825737091414544,-0.25497039150178974,-0.0009745045556928357,-0.007613864283757984
23,2061,2021-02-11 08:47:26,18.4681,22.8598,20.5281,18.8395,21.1024,22.6232,19.2109,18.8395,19.2784,22.488,22.0824,21.3727,20.8659,20.3254,23.164,23.2655,23.1979,23.0626,22.995,4.260273039056376,3.6902686728639007,0.014248301065759071,0.011479178593678233
