,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp,timeStamp_watt,entropy_kJ/K,entropy_kJ,nStratCharging,TotalTanksEnergyForAvailability_kJ,DisEntropy_kj/K,DisEntropy_kj,nStratDischarge,DisTotalTanksEnergyForAvailability_kJ
0,5994,2021-05-12 12:22:19,23.7388,26.3435,23.8064,19.1096,26.2758,25.4299,27.4942,17.6242,24.6181,23.6712,23.8403,23.7726,23.8403,23.705,26.8172,23.9755,23.8741,23.7388,23.9079,-0.463734,1.32313,0.0012295358092837346,-0.0013499477453216484,0.0052385077476501465,-0.2576968919256904,nan,0.0005555555555555556,0.0005555555555555556,145.3758777336025,3060.792024722489,-84168.48101878772,39538.39975544111,54.4058298789461,1150.6902069633772,-29.19717182076855,79776.69024340498
1,5998,2021-05-12 12:22:26,23.7388,26.3435,23.7726,19.0758,26.2419,25.4299,27.4604,17.5904,24.6519,23.705,23.8403,23.7726,23.8741,23.7388,26.8172,24.0093,23.8403,23.7726,23.8741,1.89827,2.11217,0.001881040234981871,0.005599556131081814,0.008563915252685548,0.5899883419531967,nan,0.0019444444444444444,0.0016666666666666668,148.17597837178187,3223.8972468188917,-2854.942944157332,39522.323183030865,61.09441052552052,1284.6957617133155,-13.114670076410771,79760.74443635388
2,6001,2021-05-12 12:22:31,23.7388,26.3435,23.8064,19.1096,26.2758,25.4299,27.4265,17.5567,24.6181,23.705,23.8403,23.7726,23.8741,23.705,26.8172,23.9417,23.8403,23.7388,23.8403,-0.463734,1.32313,0.0012295358092837346,-0.0013499477453216484,0.004207426071166993,0.34150987565737995,nan,0.001388888888888889,0.0016666666666666668,118.06217058722855,2518.8676603763233,-286.50587065304285,39532.95777143619,66.09739264228236,1429.942716619776,-8.630438812023629,79721.07405969643
3,6005,2021-05-12 12:22:38,23.7388,26.3435,23.8064,19.1096,26.2081,25.4637,27.4265,17.6242,24.5843,23.705,23.8403,23.7388,23.8403,23.7388,26.7834,23.9417,23.8403,23.7726,23.8064,-0.463734,-0.25497,-0.00025665198114945177,-0.0013499477453216484,0.004712597846984863,0.17591868453472662,nan,0.0019444444444444444,0.0016666666666666668,47.886293574104265,1010.149275536294,-64.7185938626684,39538.27842174917,68.06326636335929,1478.349044059652,-5.8642288521062005,79689.89425080456
4,6008,2021-05-12 12:22:43,23.7388,26.3773,23.8741,19.1096,26.2419,25.4637,27.3927,17.5904,24.5504,23.705,23.8403,23.7726,23.8403,23.705,26.8172,23.9417,23.8403,23.7726,23.9079,77.4824,2.11217,0.002208062709477584,0.22254049437293602,0.1923987579345703,0.8922843387114762,nan,0.001388888888888889,0.0016666666666666668,10.017761907774087,217.37764895316013,-11.173101558110563,39580.96974171164,73.41462542960345,1613.884462567905,-4.178345961354435,79662.40465561597
5,6011,2021-05-12 12:22:48,23.7388,25.9036,23.8403,18.9408,26.2081,25.4299,27.3927,18.1305,24.6181,23.705,23.8741,23.7726,23.8403,23.705,26.8849,23.9417,23.8741,23.7726,23.8403,646.725,1.32313,0.0012295358092837346,1.5310608855886463,0.2578507690429688,3.434233082799438,nan,0.001388888888888889,0.001388888888888889,-19.65725932983298,-424.58779665248534,22.90836046679211,39868.4130170203,75.95418201555594,1637.8941742373736,-3.0387035193207628,79633.49472428017
6,6015,2021-05-12 12:22:55,23.705,24.821,23.8403,18.3668,26.2081,25.4976,27.3927,18.5018,24.5843,23.705,23.8403,23.7388,23.8403,23.705,26.9188,23.9755,23.8741,23.7726,23.8741,840.409,0.534077,0.0005582976505584076,0.9457090958721722,0.25364462280273437,3.7757037057005136,nan,0.0019444444444444444,0.0016666666666666668,-33.86482260294055,-728.8936256279133,37.57785914740153,40049.57063802624,80.41536264951945,1719.335018561617,-2.4009031977416946,79461.63422309533
7,6018,2021-05-12 12:23:00,23.7388,24.2799,23.8064,18.0292,26.2081,25.4637,27.3927,18.1305,24.5504,23.705,23.8064,23.7726,23.8403,23.7388,27.0542,24.0432,23.9079,23.7388,23.9079,915.994,1.32313,0.0013832002219476066,0.4976488974315435,0.25209335327148436,3.0615614404512272,nan,0.001388888888888889,0.0019444444444444444,-40.76583628507228,-864.7536558053957,43.31268531632349,40215.328684718734,79.41173553420008,1738.3258518808075,-1.9569656130124615,79430.05923499067
8,6022,2021-05-12 12:23:07,23.705,24.0093,23.8064,17.8267,26.1743,25.4637,27.3588,17.8604,24.6519,23.6712,23.8403,23.7726,23.8403,23.705,28.2052,24.5843,24.2461,23.7726,23.705,934.89,1.32313,0.0012294776526629418,0.21765731006270408,0.25131629943847655,2.6409539080733064,nan,0.0019444444444444444,0.0016666666666666668,-50.90449074379032,-1111.56829699232,55.38940817709831,40407.47503567323,79.76270835092721,1713.4024555929984,-1.5696572949043115,79379.28916347235
9,6025,2021-05-12 12:23:12,23.705,23.9079,23.8064,17.7592,26.1743,25.4976,27.3927,17.7254,24.6857,23.6712,23.8064,23.7726,23.8064,23.6712,28.6453,24.8548,24.5166,23.8064,23.9417,939.614,0.534077,0.0004963121236049164,0.10943247394447864,0.25124240112304685,2.3191721658694924,nan,0.001388888888888889,0.001388888888888889,-59.47375608905499,-1286.8314967557808,64.53456090201807,40503.57579644845,82.37575301729913,1775.0516288008298,-1.2737710301716494,79314.23048328407
