,dateTime,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
0,2021-05-20 09:24:12,22.995,24.0432,24.3813,24.7872,24.7534,24.8548,24.7872,24.8548,24.9902,24.8887
1,2021-05-20 09:24:14,23.0288,24.1108,24.3813,24.7872,24.7196,24.7534,24.7872,24.821,24.8887,24.821
2,2021-05-20 09:24:15,22.995,24.1446,24.3813,24.7872,24.7196,24.8887,24.7872,24.821,24.8548,24.7534
3,2021-05-20 09:24:17,22.995,24.1108,24.3813,24.7872,24.7196,25.024,24.7872,24.821,24.9225,24.7196
4,2021-05-20 09:24:18,22.995,24.1108,24.3813,24.7872,24.7196,24.7872,24.7872,24.7872,24.8887,24.7872
5,2021-05-20 09:24:20,23.0288,24.077,24.3813,24.7872,24.7534,24.7872,24.7534,24.7872,24.8887,24.821
6,2021-05-20 09:24:22,23.0288,24.1108,24.4152,24.7872,24.7196,24.7196,24.7534,24.7872,24.821,24.7196
7,2021-05-20 09:24:23,22.995,24.1108,24.3813,24.821,24.7196,24.9563,24.7534,24.7196,24.9225,24.7872
8,2021-05-20 09:24:25,23.0288,24.077,24.449,24.821,24.7196,25.024,24.7196,24.7534,24.8887,24.821
9,2021-05-20 09:24:26,23.0288,24.1446,24.3813,24.7872,24.7196,24.7534,24.7196,24.7534,24.8548,24.6857
10,2021-05-20 09:24:28,23.0288,24.1108,24.4152,24.821,24.7196,24.7872,24.7196,24.7534,24.8548,24.6857
11,2021-05-20 09:24:30,22.995,24.077,24.4152,24.7872,24.7534,24.9225,24.7196,24.7534,24.821,24.7196
12,2021-05-20 09:24:31,22.995,24.077,24.4152,24.821,24.7534,24.7534,24.7196,24.7196,24.821,24.7196
13,2021-05-20 09:24:33,22.995,24.1108,24.3813,24.821,24.7534,24.821,24.6857,24.6857,24.8548,24.6519
14,2021-05-20 09:24:35,22.995,24.1446,24.3813,24.7872,24.7196,24.7872,24.6857,24.7196,24.8548,24.6519
15,2021-05-20 09:24:36,22.995,24.1108,24.4152,24.7872,24.7196,24.7534,24.6857,24.7196,24.8548,24.6519
16,2021-05-20 09:24:38,22.995,24.1108,24.4152,24.7872,24.7534,24.8887,24.6857,24.6857,24.7872,24.7872
17,2021-05-20 09:24:39,22.995,24.1446,24.4152,24.821,24.7196,24.821,24.6857,24.6857,24.7534,24.6857
18,2021-05-20 09:24:41,23.0288,24.1784,24.449,24.7872,24.7196,25.024,24.6519,24.7196,24.7872,24.7196
19,2021-05-20 09:24:43,22.995,24.1446,24.4152,24.7872,24.7534,24.821,24.6857,24.6857,24.7534,24.6857
20,2021-05-20 09:24:44,23.0288,24.1446,24.449,24.7872,24.7196,24.821,24.6519,24.6857,24.7872,24.7534
21,2021-05-20 09:24:46,23.0288,24.1446,24.449,24.821,24.7196,24.7196,24.6857,24.6857,24.7872,24.7534
22,2021-05-20 09:24:48,22.995,24.1446,24.449,24.821,24.7196,25.024,24.6857,24.6857,24.7872,24.6857
23,2021-05-20 09:24:49,23.0288,24.1446,24.449,24.7872,24.6857,24.7872,24.6519,24.6857,24.8548,24.6519
24,2021-05-20 09:24:51,23.0288,24.1446,24.4828,24.821,24.6857,24.9563,24.6181,24.6857,24.821,24.7534
25,2021-05-20 09:24:52,23.0288,24.1446,24.449,24.7872,24.6857,24.7534,24.6519,24.6519,24.821,24.6857
26,2021-05-20 09:24:54,23.0288,24.1784,24.449,24.821,24.6857,24.821,24.6519,24.6857,24.8548,24.6519
27,2021-05-20 09:24:56,22.995,24.1784,24.4828,24.7872,24.6857,24.9225,24.6181,24.6857,24.7872,24.6181
28,2021-05-20 09:24:57,23.0626,24.1784,24.4828,24.7872,24.6857,24.7534,24.6519,24.7196,24.7872,24.6519
29,2021-05-20 09:24:59,23.0288,24.1446,24.449,24.821,24.6857,24.7534,24.6519,24.7196,24.7534,24.7196
30,2021-05-20 09:25:00,23.0288,24.1446,24.4828,24.7872,24.6857,24.8548,24.6857,24.7534,24.8548,24.7196
31,2021-05-20 09:25:02,23.0626,24.1784,24.449,24.7872,24.6519,24.9563,24.6857,24.7872,24.821,24.6519
32,2021-05-20 09:25:04,23.0626,24.2122,24.4828,24.7872,24.6857,24.9225,24.6857,24.7872,24.8548,24.6181
33,2021-05-20 09:25:05,23.0626,24.2122,24.4828,24.821,24.6857,24.6857,24.6857,24.8548,24.8887,24.7534
34,2021-05-20 09:25:07,23.0626,24.1784,24.5166,24.821,24.6857,24.7872,24.7196,24.8887,24.9225,24.6181
35,2021-05-20 09:25:09,23.0288,24.2122,24.4828,24.821,24.6519,24.9563,24.7872,24.9563,24.9563,24.6519
36,2021-05-20 09:25:10,23.0626,24.1784,24.5166,24.821,24.6519,24.7534,24.821,25.024,25.024,24.7534
37,2021-05-20 09:25:12,23.0626,24.1784,24.5166,24.7872,24.6857,24.7196,24.7872,25.024,25.0578,24.7534
38,2021-05-20 09:25:13,23.0964,24.2461,24.5166,24.821,24.6519,24.7534,24.8548,25.1255,25.0578,24.7196
39,2021-05-20 09:25:15,23.1302,24.2122,24.5166,24.821,24.6857,24.7534,24.821,25.0916,25.1255,24.7872
40,2021-05-20 09:25:17,23.0964,24.2122,24.5504,24.7872,24.6857,24.6857,24.8548,25.1255,25.0916,24.7196
41,2021-05-20 09:25:18,23.0964,24.2122,24.5166,24.7872,24.6857,24.9563,24.8548,25.1593,25.0916,24.7534
42,2021-05-20 09:25:20,23.0964,24.2461,24.5504,24.821,24.6857,24.8548,24.8548,25.1931,25.1593,24.7534
