,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp
0,13378,2021-03-11 14:44:59,23.0964,27.765,22.2514,20.089,22.5218,27.9343,28.476,17.2867,22.3866,22.5218,22.5556,22.4204,22.488,22.3866,28.984,27.2234,25.6329,24.2461,23.164,-0.463734,0.534077,0.003405912666381208,-0.002936288838622136,0.0048360595703125,-0.607165510482115,NaN,0.0005555555555555556
1,13380,2021-03-11 14:45:03,23.0288,27.7989,22.2176,20.1227,22.4542,27.9004,28.476,17.2867,22.3866,22.5218,22.5556,22.4204,22.5218,22.3528,29.0179,27.2234,25.6667,24.3813,23.2655,-0.463734,1.32313,0.008386296053922344,-0.0029726186030772646,0.0052983551025390626,-0.5754974829406411,NaN,0.0011111111111111111
2,13382,2021-03-11 14:45:06,23.0288,27.765,22.2514,20.1227,22.4204,27.9343,28.4422,17.2529,22.3866,22.4542,22.488,22.4204,22.5218,22.3866,29.0179,27.2234,25.6667,24.4152,23.2655,-0.463734,-0.25497,-0.0016259931668040687,-0.002936561362035155,0.005548680782318115,-0.5592894403821129,NaN,0.0008333333333333334
3,13384,2021-03-11 14:45:10,23.0626,27.765,22.2176,20.089,22.4204,27.8666,28.4422,17.2192,22.4204,22.488,22.5218,22.4542,22.5218,22.3528,29.0517,27.2234,25.6329,24.4152,23.1979,-0.463734,1.32313,0.008283096559006673,-0.0029544262713412785,0.005137010097503662,-0.5640705895744367,NaN,0.0011111111111111111
4,13386,2021-03-11 14:45:13,23.0626,27.7989,22.2514,20.089,22.3866,27.9004,28.4422,17.2192,22.3866,22.488,22.488,22.4204,22.488,22.3866,28.984,27.1896,25.6329,24.4152,23.1979,-0.463734,2.11217,0.013387409352227791,-0.002954479529196694,0.005668547630310059,-0.5555013078614556,NaN,0.0008333333333333334
