,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp,timeStamp_watt,entropy_kJ/K,entropy_kJ,nStratCharging,TotalTanksEnergyForAvailability_kJ,DisEntropy_kj/K,DisEntropy_kj,nStratDischarge,DisTotalTanksEnergyForAvailability_kJ
0,4454,2021-04-28 10:07:55,21.5079,23.9417,20.7308,21.1024,20.7983,22.657,23.0626,20.9335,21.17,21.981,21.7782,21.4065,21.3051,20.9335,22.5894,22.7246,22.657,22.4542,22.2514,4.26027,0.534077,0.0009125801309757697,0.015743438957201636,0.1878898620605469,0.08379072306776111,nan,0.0005555555555555556,0.0005555555555555556,139.07747739475462,2965.57449004314,-94497.791353127,36175.77442238314,45.58778466774986,966.2430931840627,-17.586198107148842,79600.61657563515
1,4458,2021-04-28 10:08:01,21.4741,23.9755,20.7646,21.0686,20.7983,22.7246,23.1979,20.9673,21.17,21.8796,21.7782,21.4065,21.3051,20.9335,22.5556,22.7246,22.657,22.4542,22.2514,-2.82574,-0.25497,-0.0004554321976028731,-0.010442742458721172,0.005319569110870361,-0.07645272034815367,nan,0.0016666666666666668,0.0016666666666666668,141.62762056041362,3059.50434077002,-387.1931828854949,36170.428696943316,60.94189399325259,1295.8494037540845,-6.165199652581964,79610.12167339776
2,4461,2021-04-28 10:08:07,21.4741,23.9755,20.7308,21.1024,20.8321,22.6908,23.0964,20.8997,21.1362,21.9134,21.7782,21.4065,21.3051,20.9673,22.5894,22.7584,22.6232,22.4542,22.3528,-2.82574,1.32313,0.0023635089805582954,-0.010552669487001344,0.004957841873168945,-0.21599449164342327,nan,0.0016666666666666668,0.0016666666666666668,125.68903190965413,2723.6188128144568,-127.04529736893872,36213.45478056084,72.69652083750071,1569.8881795431428,-3.1677604855516894,79590.15049045385
3,4465,2021-04-28 10:08:13,21.4741,23.9755,20.7646,21.0686,20.8321,22.6908,23.0964,20.8997,21.1362,21.8796,21.8458,21.4403,21.2714,20.9673,22.5894,22.7246,22.6232,22.4542,22.2514,360.923,1.32313,0.0023635089805582954,1.333819083294649,0.21844712829589844,4.021425625263936,nan,0.0016666666666666668,0.0019444444444444444,80.24474108346118,1689.5633315063828,-52.31823840584834,36170.40013639076,85.91145408468326,1869.682870995518,-1.7573510267273087,79519.26350533262
4,4469,2021-04-28 10:08:20,21.4741,23.7726,21.0348,21.0348,20.7983,22.6908,23.1979,20.8659,21.17,21.9472,21.812,21.4065,21.3051,20.9335,22.5894,22.7584,22.6908,22.4542,22.4204,608.933,-0.25497,-0.0004455508379002595,1.918787221771886,0.21740135192871093,6.524021235648838,nan,0.0019444444444444444,0.0016666666666666668,9.720838536635668,206.50315377974215,-4.831421502246679,36208.08599784797,90.36931859395204,1954.0192392580711,-1.1864197627739925,79455.63739213902
5,4473,2021-04-28 10:08:27,21.4741,23.0964,21.17,21.0686,20.7646,22.7246,23.0626,20.8659,21.17,21.9472,21.812,21.4065,21.2714,20.9335,22.5556,22.7584,22.5894,22.4542,22.319,672.707,1.32313,0.0023633996298164078,1.4915163017099293,0.21605465698242188,6.6439749335723155,nan,0.0019444444444444444,0.0019444444444444444,-33.75022271818444,-726.2223118467134,20.469196345022635,36213.50487871337,91.0513567287758,1964.7753447200494,-0.6192413780568397,79452.8207390971
6,4476,2021-04-28 10:08:32,21.5079,22.15,21.2038,21.0011,20.7646,22.6908,23.0964,20.8321,21.1024,21.981,21.7444,21.4403,21.3051,20.9335,22.5556,22.6908,22.6908,22.488,22.4542,684.517,0.534077,0.0009747647841626865,0.7454231609367178,0.21535589599609375,5.844402384435712,nan,0.001388888888888889,0.0016666666666666668,-42.58029923399402,-933.0705623888073,25.540565339664738,36181.183450637174,93.37895615094668,2053.995260170295,-0.3744431475854517,79478.35596392897
7,4480,2021-04-28 10:08:39,21.4403,21.5755,21.2376,20.9335,20.8321,22.6908,23.0964,20.8659,21.1024,21.9134,21.8458,21.4065,21.3389,20.9673,22.5556,22.7584,22.657,22.4542,22.4204,693.965,-0.25497,-0.00046535570155232327,0.26989897104476473,0.2148848114013672,5.077790171992779,nan,0.0019444444444444444,0.0016666666666666668,-47.288701806826964,-996.0429281922289,26.93282998043376,36170.434873857856,94.92104435752834,2003.6308519190677,-0.1673744661860896,79458.1132520585
8,4483,2021-04-28 10:08:44,21.5079,21.4403,21.2714,20.9673,20.7983,22.7584,23.1302,20.7983,21.1362,21.981,21.812,21.4065,21.3389,20.9335,22.5894,22.7922,22.5556,22.4542,22.2514,741.205,0.534077,0.0009954149441627708,0.14407999686968037,0.21479676818847657,4.4048020903362515,nan,0.001388888888888889,0.0016666666666666668,-49.67165751421561,-1066.8334997102957,28.638523279937985,36165.090306825965,97.5159826140576,2100.7025874126784,-0.0704732349253014,79365.91180174542
9,4487,2021-04-28 10:08:51,21.4741,21.3727,21.3051,20.9335,20.7646,22.657,23.0964,20.7308,21.1362,21.9472,21.7444,21.4403,21.3389,20.9335,22.5556,22.657,22.5556,22.4204,22.4542,710.499,-0.25497,-0.00044557144701258707,0.05527970985725947,0.2149600067138672,3.8723680248308168,nan,0.0019444444444444444,0.0016666666666666668,-50.63862891519885,-1104.4929508851114,29.614169074982367,36186.59203264695,102.27657473061542,2230.894188477412,0.031044777568419092,79188.4961336971
