,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp,timeStamp_watt,entropy_kJ/K,entropy_kJ,nStratCharging,TotalTanksEnergyForAvailability_kJ,DisEntropy_kj/K,DisEntropy_kj,nStratDischarge,DisTotalTanksEnergyForAvailability_kJ
0,7780,2021-04-19 11:37:43,21.6768,26.6142,23.1979,13.4078,21.17,33.1182,26.3773,11.3522,21.2038,31.186,29.5598,23.5021,23.0626,22.7584,31.491,31.2199,30.7794,30.881,31.4571,941.976,1.32313,0.01784668625508219,3.702815509352906,1.2973916015625,2.854049676159756,nan,0.0005555555555555556,0.0005555555555555556,-101.23486808177964,-2206.878943512005,301.0447572647335,46532.11309038366,41.28257166168318,879.808473548626,-29.690062345321312,79001.70698512669
1,7783,2021-04-19 11:37:48,21.6768,26.648,23.164,13.3741,21.2038,33.0165,26.3773,11.3522,21.2376,31.1521,29.8307,23.5698,23.0626,22.7584,31.3555,31.1521,30.7455,30.9827,31.4232,937.252,-0.25497,-0.0034004938211460375,3.7572557478255453,1.2976374511718751,2.523154663000239,nan,0.001388888888888889,0.0016666666666666668,-100.07729339233941,-2174.7704328482173,84.60470609603854,46553.56083382718,46.95694072696571,1000.6905476524738,-17.12092106113684,78981.89835077286
2,7786,2021-04-19 11:37:53,21.6768,26.7157,23.2317,13.3404,21.2038,32.9148,26.3773,11.3185,21.2038,31.1182,30.0679,23.6036,23.0964,22.7584,31.2877,31.186,30.6438,30.9149,31.2877,944.338,2.11217,0.028011492795113394,3.785662104098022,1.2972314453125,2.675095485284002,nan,0.001388888888888889,0.001388888888888889,-95.77093715730699,-2091.608523696018,47.678140400329646,46543.42716972253,53.60068799946296,1160.6634402365762,-12.056198766487569,78966.70353749582
3,7789,2021-04-19 11:37:58,21.6768,26.7157,23.2993,13.3404,21.2038,32.847,26.3773,11.2848,21.2038,31.0166,30.1695,23.705,23.164,22.7584,31.2538,31.0505,30.61,30.7794,31.2199,941.976,3.69027,0.048661710068129506,3.7029238960727295,1.295203857421875,2.582795569549249,0.004241442370612104,0.001388888888888889,0.0016666666666666668,-94.8644560073648,-2002.8201178680679,32.69270805242345,46507.31438859507,58.748524508160585,1271.4312579203663,-9.507935789444927,78868.66982772977
4,7793,2021-04-19 11:38:05,21.643,26.7834,23.3331,13.3067,21.2376,32.7452,26.4111,11.2848,21.2038,30.9827,30.3728,23.9755,23.164,22.7584,31.2199,30.9149,30.5761,30.7794,31.2538,939.614,1.32313,0.01729749042325897,3.7304608699083266,1.295496337890625,2.7690644818111148,0.006479136558839028,0.0019444444444444444,0.0016666666666666668,-92.6344247740738,-2016.451203137,23.62551851240292,46550.25839200671,57.53079713285349,1249.7939645494532,-7.867542588012426,78869.62432853728
5,7796,2021-04-19 11:38:10,21.6768,26.7834,23.3669,13.2393,21.2038,32.5757,26.445,11.2174,21.2038,30.9827,30.4744,24.3813,23.1979,22.7584,31.1521,30.8471,30.4405,30.6438,31.1521,937.252,1.32313,0.017047713488725205,3.6844616137904644,1.296035888671875,2.6916616982616586,0.008896127901380934,0.001388888888888889,0.0016666666666666668,-93.51517214996997,-2001.1156373597685,19.629712989604467,46556.85300556657,62.850205536744646,1356.91274169162,-6.4395362457514445,78775.0568533104
6,7800,2021-04-19 11:38:17,21.6768,26.8849,23.2993,13.273,21.2376,32.4062,26.5465,11.2511,21.2376,30.9488,30.61,24.9563,23.1979,22.7922,31.0505,30.7794,30.4067,30.61,31.0505,937.252,1.32313,0.016747123403661492,3.866824399943536,1.29918359375,2.8185012577891273,0.010634170069091788,0.0019444444444444444,0.0016666666666666668,-90.20375091003054,-1922.6578028157749,15.317388376869326,46616.49222470985,64.28375155443614,1357.8240111213076,-5.4261644062202175,78728.0943635807
7,7803,2021-04-19 11:38:23,21.6768,26.8849,23.3331,13.2393,21.17,32.3723,26.5465,11.15,21.2038,30.881,30.7116,25.6667,23.2655,22.7922,31.0166,30.7794,30.3389,30.5761,30.9827,937.252,0.534077,0.0067601969961923955,3.8303734113452252,1.2965799560546876,2.8374347726887796,0.013042131779544622,0.0016666666666666668,0.0016666666666666668,-94.399068519306,-2005.9770066821275,13.768367885402062,46713.06524767001,64.52401525162357,1395.3128663800096,-4.796415471890076,78645.95604134104
8,7806,2021-04-19 11:38:28,21.6768,26.9526,23.4345,13.2393,21.17,32.2367,26.4788,11.1163,21.2038,30.8471,30.7116,26.3435,23.2655,22.7584,31.0166,30.7455,30.305,30.4405,30.9149,944.338,1.32313,0.016547767875453243,3.8227146522466304,1.29935009765625,2.8483484420430676,0.015452835347374983,0.001388888888888889,0.001388888888888889,-92.71186024138889,-1999.9835575860955,12.358415782028903,46766.94564856248,67.0988050253882,1449.4195224559746,-4.17639925318442,78540.64928996598
9,7809,2021-04-19 11:38:33,21.6768,26.9865,23.6036,13.2393,21.2038,32.0672,26.5127,11.1163,21.2038,30.7455,30.7455,26.9188,23.2993,22.7922,30.9827,30.61,30.305,30.4067,30.9149,941.976,1.32313,0.01629759950399024,3.666614344931635,1.301959228515625,2.792439678713505,0.017153695183619193,0.001388888888888889,0.0016666666666666668,-93.25623358753802,-2006.5122161349327,11.328046223667492,46826.09954154263,72.07909870042374,1522.3065909393763,-3.6410204175576575,78388.90543564048
10,7813,2021-04-19 11:38:40,21.6768,27.0542,23.5698,13.1719,21.2038,31.9994,26.5465,11.0827,21.2038,30.7455,30.7455,27.5958,23.3331,22.7922,30.7455,30.61,30.1695,30.305,30.8133,941.976,1.32313,0.016197495698997526,3.7766268655531623,1.3023607177734375,2.900200911615844,0.019532137513761594,0.0019444444444444444,0.001388888888888889,-90.43012695885082,-1924.5529554657262,9.727422480550839,46848.295131404106,74.774620361137,1595.6352542158784,-3.330953129298991,78291.77911756127
11,7816,2021-04-19 11:38:45,21.6768,27.088,23.4683,13.1719,21.2038,31.9316,26.5803,11.049,21.2376,30.7116,30.8133,28.0359,23.4007,22.7922,30.6438,30.5422,30.2373,30.4744,30.7116,941.976,1.32313,0.016046653208856062,3.923274097475257,1.3007181396484375,2.9092833893495698,0.02190282885882084,0.001388888888888889,0.001388888888888889,-91.46583101343693,-2009.0164602884195,9.371336131642815,46927.97086926912,79.46642681107372,1738.7383239552253,-3.12522452185251,78159.1403637582
12,7819,2021-04-19 11:38:50,21.6768,27.1219,23.4007,13.1719,21.2038,31.9316,26.648,11.049,21.2038,30.6438,30.7794,28.3744,23.5021,22.7922,30.5083,30.5083,30.2373,30.4744,30.7794,941.976,1.32313,0.016097371076675335,4.033286618096781,1.305513671875,2.8804427096910676,0.024264338851218516,0.001388888888888889,0.0016666666666666668,-91.02108933021316,-1964.5512301658118,8.55590290230405,46965.45883782377,80.96536558109626,1727.6195039486458,-2.7567716649205747,78067.26876550191
13,7823,2021-04-19 11:38:57,21.6768,27.1896,23.5698,13.1044,21.2376,31.8638,26.648,11.0153,21.2376,30.6438,30.7794,28.7469,23.6036,22.7922,30.4744,30.5083,30.2711,30.4405,30.6777,941.976,2.90122,0.034965810365493885,3.923382484195077,1.30497900390625,2.930166509634901,0.025945589546624858,0.0019444444444444444,0.0016666666666666668,-89.07928750138728,-1922.7165183518964,7.693378460789005,47018.70856702684,85.28063094483105,1862.5162614230799,-2.571031622031591,77945.21454560205
14,7827,2021-04-19 11:39:04,21.6768,27.2234,23.5698,13.0707,21.2038,31.6944,26.648,10.9816,21.2376,30.61,30.7794,29.1195,23.7388,22.7922,30.3728,30.3728,30.1695,30.3728,30.7455,941.976,2.90122,0.03441693651608712,3.9600171954956473,1.309518798828125,2.938138865301652,0.028301777072874346,0.0019444444444444444,0.0019444444444444444,-88.10417389577594,-1919.3330003647877,7.097688997314065,47040.4550124706,86.01221190599058,1885.5892461797962,-2.410805710754077,77793.9963398347
