,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP
0,14686,2021-03-02 14:54:51,22.1838,35.323,27.1896,19.3122,22.0486,35.0855,23.705,16.0382,22.7584,34.7123,31.2538,25.9036,24.3475,23.2993,36.0695,36.2053,36.1034,35.9677,35.8998,-0.463734,1.32313,0.018739556980241573,-0.004336884633578316,0.005647682666778565,
1,14689,2021-03-02 14:54:56,22.1838,35.323,27.2234,19.346,22.0486,35.0855,23.705,16.0045,22.7584,34.7462,31.2199,25.8697,24.3475,23.2655,36.0695,36.2053,36.1374,35.9677,35.9338,1.89827,-0.25497,-0.003611152980623366,0.017679026853830906,0.0058623366355896,
2,14691,2021-03-02 14:54:59,22.2176,35.289,27.2234,19.3122,22.0486,35.0855,23.7388,16.0045,22.7584,34.7462,31.2538,25.8697,24.3475,23.2655,36.0356,36.1713,36.1034,35.9338,35.9338,-2.82574,0.534077,0.007564159510657669,-0.026205090911308408,0.0054130859375,
3,14693,2021-03-02 14:55:03,22.1838,35.289,27.2234,19.3122,22.0824,35.0855,23.705,16.0382,22.7584,34.7123,31.2538,25.8697,24.3475,23.2655,36.0695,36.1713,36.1034,35.9677,35.9338,-0.463734,0.534077,0.007564159510657669,-0.004300732375216915,0.003738539695739746,
4,14695,2021-03-02 14:55:06,22.2176,35.289,27.2234,19.3122,22.0486,35.0515,23.705,16.0045,22.7584,34.7123,31.2538,25.8697,24.3137,23.2655,36.0695,36.2053,36.0016,35.9338,35.8659,-0.463734,0.534077,0.007543296418497923,-0.004300534241885202,0.006248101711273194,
5,14697,2021-03-02 14:55:10,22.1838,35.323,27.2234,19.3122,22.0148,35.0855,23.7388,16.0382,22.7246,34.814,31.2538,25.9036,24.3475,23.2993,36.0695,36.1713,36.0356,35.9677,35.8998,-0.463734,2.90122,0.04120469833206605,-0.004318861826312602,0.006357488632202149,
6,14699,2021-03-02 14:55:13,22.1838,35.289,27.1896,19.346,22.0486,35.0855,23.705,16.0045,22.7246,34.6783,31.2199,25.8697,24.3475,23.2993,36.0695,36.1713,36.1374,35.9677,35.8319,4.26027,2.11217,0.029998182721765312,0.03967589855666237,0.005090231895446777,
7,14701,2021-03-02 14:55:17,22.1838,35.323,27.1896,19.346,22.0486,35.0855,23.705,16.0045,22.7584,34.7462,31.2538,25.8697,24.3475,23.2655,36.0356,36.2392,36.0016,36.0016,35.798,-0.463734,2.11217,0.02991477033016926,-0.004336884633578316,0.0033080954551696776,
8,14703,2021-03-02 14:55:20,22.1838,35.2551,27.2234,19.3122,22.0486,35.0855,23.705,16.0382,22.7584,34.7123,31.2538,25.9036,24.3137,23.2993,36.0695,36.2053,36.0356,35.9677,35.9677,-2.82574,1.32313,0.018739556980241573,-0.026096152235277916,0.0052113327980041506,
9,14705,2021-03-02 14:55:23,22.15,35.323,27.2234,19.3122,22.0486,35.0855,23.7388,16.0045,22.7584,34.7123,31.2199,25.9036,24.3137,23.2655,36.0695,36.2053,36.0356,35.9677,36.0016,4.26027,2.11217,0.02991477033016926,0.03967870574354076,0.005104426860809326,
10,14707,2021-03-02 14:55:27,22.1838,35.323,27.2234,19.3122,22.0486,35.1194,23.705,16.0045,22.7584,34.7462,31.2538,25.9036,24.3475,23.2993,36.0695,36.2053,36.0695,35.9677,35.9338,-0.463734,-0.25497,-0.0036210837904685944,-0.004318861826312602,0.005767313480377198,
11,14709,2021-03-02 14:55:30,22.15,35.323,27.2234,19.346,22.0148,35.0855,23.7388,16.0382,22.7584,34.7801,31.2199,25.9036,24.3475,23.2655,36.0695,36.2053,36.0356,35.9677,35.9677,-0.463734,-0.25497,-0.003611152980623366,-0.00431906074715338,0.005412334442138672,
12,14711,2021-03-02 14:55:34,22.1838,35.289,27.2234,19.3122,22.0486,35.0855,23.705,16.0382,22.7584,34.814,31.2538,25.9036,24.3475,23.2655,36.0695,36.2053,36.1034,35.9677,36.0356,1.89827,2.90122,0.04109012531060172,0.017604814928176525,0.005232800483703614,
13,14713,2021-03-02 14:55:37,22.1838,35.323,27.2234,19.3122,22.0148,35.0855,23.7388,16.0045,22.7584,34.7462,31.2538,25.8697,24.3475,23.2655,36.0695,36.2053,36.0356,35.9677,35.8659,1.89827,2.11217,0.02991477033016926,0.017679026853830906,0.005821564197540283,
14,14715,2021-03-02 14:55:41,22.2176,35.289,27.1896,19.346,22.0486,35.0855,23.7388,16.0382,22.7584,34.7462,31.2199,25.9036,24.3475,23.2993,36.0695,36.2053,36.0695,35.9338,36.0016,-2.82574,1.32313,0.018739556980241573,-0.026314906929063107,0.005431884765625,
15,14716,2021-03-02 14:55:42,22.1838,35.289,27.2234,19.346,22.0486,35.0855,23.705,16.0045,22.7584,34.6783,31.2199,25.9036,24.3137,23.2655,36.0695,36.2053,36.0695,35.9338,36.0016,1.89827,1.32313,0.018739556980241573,0.017604814928176525,0.007644876480102539,
16,14718,2021-03-02 14:55:46,22.15,35.289,27.2234,19.346,22.0486,35.1194,23.705,16.0045,22.7584,34.7123,31.2538,25.8697,24.3137,23.2655,36.0695,36.2392,36.1374,35.9677,35.8659,-0.463734,1.32313,0.018791091484028362,-0.0043009304610400895,0.0068247499465942385,
17,14720,2021-03-02 14:55:49,22.1838,35.289,27.1896,19.346,22.0486,35.0855,23.705,16.0045,22.7922,34.7462,31.2199,25.8697,24.3137,23.2993,36.0695,36.2392,36.1713,35.9338,35.9677,1.89827,1.32313,0.018687309376088188,0.017678590313091772,0.009707787513732911,
18,14722,2021-03-02 14:55:53,22.1838,35.289,27.2234,19.346,22.0486,35.0855,23.6712,16.0045,22.7584,34.7123,31.2538,25.9036,24.3475,23.2993,36.0695,36.2053,36.0695,35.9338,35.8659,-2.82574,1.32313,0.018739556980241573,-0.026206298226883182,0.005339177131652832,
19,14724,2021-03-02 14:55:56,22.2176,35.289,27.2234,19.3122,22.0486,35.1194,23.705,16.0382,22.7584,34.7462,31.2538,25.9036,24.3475,23.2655,36.0695,36.2053,36.1034,35.9338,35.8319,-5.18774,1.32313,0.018791091484028362,-0.048109591938476665,0.007989058494567871,
20,14726,2021-03-02 14:55:59,22.1838,35.289,27.2234,19.346,22.0148,35.0855,23.705,16.0045,22.7584,34.6783,31.2538,25.9036,24.3137,23.2655,36.0695,36.2053,36.1374,35.9677,35.9677,-5.18774,0.534077,0.007564159510657669,-0.048111808433730974,0.0030422720909118652,
21,14728,2021-03-02 14:56:03,22.1838,35.289,27.2234,19.346,22.0148,35.1194,23.6712,16.0045,22.7584,34.7123,31.2199,25.8697,24.3137,23.2655,36.0695,36.2053,36.1374,35.9677,35.9677,-0.463734,1.32313,0.018791091484028362,-0.004300732375216915,0.002293179273605347,
22,14730,2021-03-02 14:56:06,22.2176,35.289,27.1896,19.346,22.0486,35.0515,23.7388,16.0382,22.7584,34.7123,31.2538,25.8697,24.3475,23.2993,36.0695,36.2053,36.0695,35.9677,35.8659,-0.463734,0.534077,0.007543296418497923,-0.004318556218846089,0.00575928020477295,
23,14732,2021-03-02 14:56:10,22.15,35.289,27.2234,19.3122,22.0486,35.1194,23.705,16.0045,22.7584,34.7462,31.2538,25.9036,24.3137,23.2655,36.0695,36.2053,36.1034,35.9338,35.9677,-5.18774,1.32313,0.018791091484028362,-0.048114024397512604,0.005571395874023438,
24,14734,2021-03-02 14:56:13,22.1838,35.289,27.2234,19.3122,22.0148,35.0855,23.7388,16.0045,22.7584,34.7462,31.2199,25.9036,24.3475,23.2993,36.0695,36.2053,36.1034,35.9677,35.8998,-0.463734,2.90122,0.04109012531060172,-0.004300732375216915,0.005909763813018799,
25,14735,2021-03-02 14:56:15,22.2176,35.323,27.2234,19.346,22.0148,35.0515,23.705,16.0045,22.7584,34.7801,31.2199,25.8697,24.3475,23.2655,36.0695,36.2053,36.0695,35.9677,35.8659,1.89827,2.11217,0.029832260884214742,0.01767821238685496,0.00493004035949707,
26,14737,2021-03-02 14:56:18,22.1838,35.289,27.1896,19.346,22.0486,35.0855,23.705,16.0045,22.7922,34.7123,31.2199,25.8697,24.3137,23.2655,36.0695,36.1713,36.0695,35.9677,35.798,4.26027,0.534077,0.007543069939955297,0.03967589855666237,0.0038350551128387453,
27,14739,2021-03-02 14:56:22,22.1838,35.323,27.2234,19.346,22.0486,35.0855,23.705,16.0382,22.7584,34.7801,31.2538,25.8697,24.3137,23.2655,36.0695,36.2053,36.0695,35.9338,35.8998,-0.463734,1.32313,0.018739556980241573,-0.004318861826312602,0.005077251434326172,
28,14741,2021-03-02 14:56:25,22.1838,35.289,27.1896,19.346,22.0486,35.0855,23.705,16.0382,22.7584,34.7123,31.2199,25.9374,24.3137,23.2993,36.0695,36.2053,36.0695,35.9338,35.8998,-0.463734,1.32313,0.018739556980241573,-0.004318755182482629,0.005215606689453125,
29,14743,2021-03-02 14:56:29,22.1838,35.289,27.2234,19.3122,22.0486,35.1194,23.705,16.0382,22.7584,34.7123,31.2199,25.9036,24.3475,23.2655,36.0695,36.1713,36.1034,35.9677,35.9677,1.89827,2.11217,0.02999703710128271,0.017604814928176525,0.005367694854736328,
30,14745,2021-03-02 14:56:32,22.2176,35.289,27.1896,19.346,22.0486,35.0855,23.705,16.0045,22.7584,34.7462,31.2199,25.9036,24.3475,23.2993,36.0695,36.2053,36.1034,35.9338,35.9677,-0.463734,2.90122,0.04109012531060172,-0.004318556218846089,0.005329771995544434,
31,14747,2021-03-02 14:56:36,22.1838,35.289,27.1896,19.346,22.0148,35.1194,23.705,16.0382,22.7922,34.7801,31.2538,25.8697,24.3475,23.2993,36.0356,36.2053,36.0695,35.9677,35.9677,-0.463734,-1.04402,-0.01478594340450086,-0.004318755182482629,0.005946232795715332,
32,14749,2021-03-02 14:56:39,22.1838,35.289,27.1896,19.346,22.0148,35.1194,23.7388,16.0382,22.7584,34.7462,31.2538,25.8697,24.3137,23.2655,36.0695,36.1713,36.1034,35.9338,35.9677,-0.463734,0.534077,0.007584961240781644,-0.004318755182482629,0.005667551040649414,
33,14751,2021-03-02 14:56:42,22.1838,35.289,27.1896,19.346,22.0486,35.0855,23.7388,16.0382,22.7584,34.7123,31.2199,25.9036,24.3475,23.2993,36.0356,36.2053,36.1374,35.9677,35.8659,1.89827,2.11217,0.02991477033016926,0.017678590313091772,0.0056516480445861815,
34,14753,2021-03-02 14:56:46,22.1838,35.289,27.1896,19.3122,22.0486,35.0855,23.705,16.0045,22.7584,34.6783,31.2199,25.9036,24.3475,23.2655,36.0695,36.2392,36.1374,35.9338,35.8998,1.89827,1.32313,0.018739556980241573,0.017678590313091772,0.005176360130310058,
35,14755,2021-03-02 14:56:49,22.15,35.289,27.1896,19.346,22.0148,35.1194,23.705,16.0045,22.7584,34.6783,31.2199,25.8697,24.3137,23.2655,36.0695,36.2053,36.0695,35.9677,35.8998,6.62228,2.11217,0.02999703710128271,0.061676140517686356,0.011040565490722656,
36,14757,2021-03-02 14:56:53,22.1838,35.289,27.1896,19.3122,22.0486,35.0855,23.705,16.0045,22.7922,34.7123,31.2538,25.8697,24.3475,23.2655,36.0356,36.2053,36.1034,35.9338,35.8998,1.89827,0.534077,0.007543069939955297,0.017678590313091772,0.005507740020751954,
37,14759,2021-03-02 14:56:56,22.2176,35.289,27.1896,19.346,22.0486,35.1194,23.705,16.0045,22.7584,34.7123,31.2199,25.8697,24.3475,23.2993,36.0695,36.2053,36.1034,35.9677,35.8998,1.89827,3.69027,0.052409212375779675,0.017677775866227114,0.0054551448822021485,
38,14761,2021-03-02 14:57:00,22.1838,35.289,27.1896,19.3122,22.0486,35.1194,23.705,16.0045,22.7584,34.7123,31.2199,25.9036,24.3475,23.2993,36.0695,36.2053,36.1034,35.9338,35.8998,6.62228,2.11217,0.02999703710128271,0.06167329993024247,0.005178182601928711,
