,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp,timeStamp_watt,entropy_kJ/K,entropy_kJ,nStratCharging,TotalTanksEnergyForAvailability_kJ,DisEntropy_kj/K,DisEntropy_kj,nStratDischarge,DisTotalTanksEnergyForAvailability_kJ
0,203,2021-04-20 07:58:22,21.812,30.8471,23.4683,19.5824,25.3623,31.8977,25.1593,16.9492,23.4683,27.9682,27.9682,27.4942,26.6819,25.6667,31.8977,29.763,28.6115,28.1713,28.1713,-0.463734,0.534077,0.005105801198839974,-0.003936508467545503,0.005686168670654297,-0.6922952475120342,nan,0.0005555555555555556,0.0005555555555555556,147.28464578340086,3139.7852250814644,-63846.483772015476,45995.265563075736,16.389728069128733,353.50827961762735,-51.86296906022588,80737.78427471199
1,206,2021-04-20 07:58:27,21.812,30.8471,23.5698,19.5486,25.3623,31.8977,25.2608,16.9492,23.4683,27.9343,27.9343,27.4942,26.6819,25.6329,31.9316,29.7291,28.5776,28.1374,28.2052,-0.463734,1.32313,0.012649184930676913,-0.0038823593363241835,0.0034534282684326174,-0.9526990046509879,nan,0.001388888888888889,0.001388888888888889,150.20053337962116,3178.466208773554,20042.49805053537,45963.636911052716,31.35439193270335,684.5956400742554,-29.397749756131308,80766.67672820968
2,209,2021-04-20 07:58:32,21.812,30.8471,23.5021,19.5824,25.3284,31.8638,25.3284,16.8817,23.5021,27.9682,27.9682,27.4942,26.7157,25.6329,31.83,29.7291,28.5776,28.1374,28.2052,-0.463734,1.32313,0.012548217794785411,-0.003918476540104315,0.007241643905639648,-0.5909066322677448,nan,0.001388888888888889,0.0019444444444444444,148.02227467724606,3251.2873875142104,3983.207437353685,45974.21955319489,45.00080244927726,963.1303401816357,-17.169071119496856,80756.14607857181
3,212,2021-04-20 07:58:38,21.7782,30.8471,23.4683,19.5486,25.2946,31.9316,25.2946,16.9492,23.5021,27.9682,28.002,27.4942,26.6819,25.6667,31.9316,29.7291,28.5099,28.1374,28.1713,1.89827,1.32313,0.012648706117827958,0.016114623939660448,0.006263845920562745,0.4501622077274604,nan,0.0016666666666666668,0.001388888888888889,148.4361375015648,3183.9931234240476,4513.508090007132,45963.597498291216,58.227244054862254,1264.8932079811595,-11.79460378956289,80743.01269755852
4,216,2021-04-20 07:58:44,21.7782,30.8133,23.4683,19.5824,25.2946,31.8977,25.2946,16.9155,23.5021,28.0359,27.9682,27.4604,26.6819,25.6329,31.83,29.7291,28.5438,28.1713,28.0697,-0.463734,1.32313,0.01259846454124743,-0.003918656450106971,0.007005804538726807,0.17224092199802815,nan,0.0016666666666666668,0.0016666666666666668,146.86199705866528,3182.502303341223,4286.641279562025,45958.25310140158,65.01825818619294,1419.565486595619,-8.45941204013446,80682.56127305992
5,220,2021-04-20 07:58:51,21.812,30.881,23.5021,19.5824,25.2946,31.8977,25.4299,16.9155,23.5021,28.002,27.9682,27.4942,26.7157,25.6329,31.83,29.7291,28.6115,28.1374,28.1036,-0.463734,2.90122,0.027624585109821312,-0.003936561816443258,0.005285749435424805,-0.006628475131545197,nan,0.0019444444444444444,0.0019444444444444444,145.47657368188737,3142.79990960135,2561.2496676625065,45995.352712505875,72.34244351319546,1578.0213782852234,-6.47135784444505,80623.45923531207
6,223,2021-04-20 07:58:56,21.812,30.8133,23.5698,19.5824,25.2608,31.8977,25.3961,16.9155,23.5359,28.002,27.9343,27.4942,26.7157,25.6667,31.8638,29.6953,28.6453,28.1713,28.1374,-5.18774,0.534077,0.005064854967667934,-0.04322979525365548,0.005386707305908203,-1.0036353275458376,nan,0.001388888888888889,0.001388888888888889,148.41906089410844,3213.9865300386336,2342.5017587873417,45963.65703118298,72.56191506532475,1554.883365235206,-5.206460565392164,80546.08809198013
7,226,2021-04-20 07:59:02,21.812,30.8471,23.5359,19.5824,25.2608,31.8977,25.4637,16.9492,23.5698,27.9682,27.9682,27.4942,26.6819,25.6329,31.9316,29.7291,28.476,28.1374,28.239,-0.463734,2.11217,0.019949303339271286,-0.003900444612663126,0.005990910053253174,-0.9766219605923849,nan,0.0016666666666666668,0.001388888888888889,149.01486160723744,3199.848605417579,2678.9203344564858,45947.702669402555,76.62231531744676,1679.3043219047452,-4.551549980418805,80429.6731327815
8,229,2021-04-20 07:59:07,21.812,30.881,23.5359,19.5824,25.2946,31.8977,25.4299,16.9492,23.5698,28.002,27.9343,27.4604,26.6819,25.6667,31.8638,29.6953,28.5099,28.1713,28.1036,1.89827,0.534077,0.005044321280734027,0.016040289761794384,0.005264486312866211,-0.5773919335591035,nan,0.001388888888888889,0.0016666666666666668,148.4671362218312,3254.4241205584813,2398.145753933864,45963.5395088069,80.99354724199536,1746.95725019248,-3.794078553789459,80374.46130592529
9,233,2021-04-20 07:59:14,21.812,30.881,23.5021,19.5824,25.2608,31.8977,25.4976,16.9492,23.5359,28.002,27.9682,27.4942,26.7157,25.6329,31.8638,29.6953,28.6115,28.1374,28.0697,-0.463734,0.534077,0.005064854967667934,-0.003936561816443258,0.006275834083557129,-0.5958022233356797,nan,0.0019444444444444444,0.0016666666666666668,148.6176826667554,3205.709833679379,2799.9017760646425,45958.314274196004,83.49162140960478,1778.240423656047,-3.290064422067862,80269.77157801655
10,236,2021-04-20 07:59:19,21.8458,30.8471,23.5021,19.5486,25.2269,31.8977,25.5652,16.9492,23.5698,27.9682,27.9682,27.4942,26.6819,25.6667,31.8638,29.6953,28.6115,28.1374,28.2052,-2.82574,-0.25497,-0.0024081744710009135,-0.02387594482210111,0.011176582336425782,-0.8032471809679345,nan,0.001388888888888889,0.0016666666666666668,145.87483266144923,3097.082520989512,2033.0882736645242,45984.77006075766,85.86027051082635,1873.8061213341336,-2.914368926828335,80223.24729645654
11,239,2021-04-20 07:59:24,21.812,30.8471,23.5021,19.5824,25.2608,31.8977,25.5652,16.9155,23.5698,27.9682,27.9343,27.4942,26.7157,25.6329,31.7961,29.6953,28.476,28.1713,28.239,-0.463734,0.534077,0.005044321280734027,-0.003918476540104315,0.005485400199890137,-0.7973045377793156,nan,0.001388888888888889,0.001388888888888889,148.08599037392645,3166.8836767895255,2275.5082956964657,45974.085679899916,88.27534056638382,1931.3465742066014,-2.6262680090084842,80132.14503722114
12,242,2021-04-20 07:59:29,21.812,30.8471,23.5359,19.5824,25.2269,31.8638,25.5991,16.9155,23.6374,27.9343,27.9343,27.4942,26.6819,25.6329,31.8977,29.7291,28.5438,28.1374,28.1036,-2.82574,-0.25497,-0.0023789420134857167,-0.023767164710344083,0.0056197776794433595,-1.0172686557160402,nan,0.001388888888888889,0.001388888888888889,148.46258345540997,3216.511513534459,2876.3876854192736,45963.513906590924,91.52819432664748,1959.6077859020788,-2.296896998221727,80019.10437253905
13,246,2021-04-20 07:59:36,21.812,30.8471,23.5021,19.5824,25.1931,31.8638,25.6329,16.9155,23.6036,28.002,27.9682,27.4942,26.6819,25.6667,31.7961,29.7291,28.6115,28.1374,28.1036,-2.82574,-0.25497,-0.0023887164275739952,-0.02387704136085422,0.00520743465423584,-1.3054758143024587,nan,0.0019444444444444444,0.0016666666666666668,147.97248396255108,3242.265258535912,2579.9345879813804,45926.67118447894,94.67809660356771,2002.0071092107767,-2.0399536337105926,79911.09587045263
14,249,2021-04-20 07:59:41,21.812,30.8471,23.5021,19.5824,25.1931,31.8977,25.6667,16.9492,23.6036,27.9682,27.9682,27.4942,26.6819,25.6667,31.8638,29.6614,28.6115,28.1374,28.2052,-0.463734,1.32313,0.012446153312635226,-0.003918476540104315,0.005238113403320313,-1.2626937670959542,nan,0.001388888888888889,0.0016666666666666668,148.59496433523432,3158.159216270899,1994.6627498801513,45958.38108391894,96.26930536784941,2060.05393360679,-1.884676865867988,79774.47779532224
15,252,2021-04-20 07:59:46,21.812,30.8471,23.5021,19.6161,25.1931,31.8977,25.6667,16.9155,23.6374,27.9343,27.9343,27.4942,26.7157,25.6329,31.83,29.7291,28.5438,28.1374,28.1713,-5.18774,1.32313,0.012395432923205744,-0.043835555482584325,0.0059032077789306645,-1.6055347886405507,nan,0.001388888888888889,0.001388888888888889,145.64542946815214,3111.700597409687,2083.892499257167,45990.13399877982,102.31619872574785,2153.305184841241,-1.6197699881328462,79533.37766169591
16,256,2021-04-20 07:59:53,21.812,30.8471,23.5698,19.5824,25.1593,31.8977,25.7006,16.9155,23.6374,28.002,27.9343,27.4942,26.6819,25.5991,31.83,29.7291,28.5438,28.1374,28.2052,-0.463734,0.534077,0.00500337504956199,-0.0038823593363241835,0.005451073169708252,-1.5605588660711402,nan,0.0019444444444444444,0.0016666666666666668,147.4484244157959,3153.9202994837406,2849.59384888481,45990.080707031106,105.59404858573546,2277.517913281401,-1.5189983983251105,79415.93419816105
17,259,2021-04-20 07:59:58,21.812,30.8471,23.5359,19.5486,25.1593,31.8638,25.7006,16.9155,23.6712,27.9682,27.9682,27.4942,26.7157,25.7006,31.9316,29.7291,28.6453,28.1713,28.0697,-2.82574,-0.25497,-0.002369167599397438,-0.023767164710344083,0.005973415374755859,-1.6655508465385138,nan,0.001388888888888889,0.0016666666666666668,148.25617044501436,3246.766621153375,2542.186682354061,45968.84570540436,108.42763393980158,2375.374185419461,-1.4094360179122785,79309.7268799027
18,262,2021-04-20 08:00:03,21.812,30.8471,23.5021,19.5824,25.1593,31.8638,25.7344,16.9155,23.6374,28.002,27.9682,27.5281,26.7157,25.6329,31.83,29.6953,28.476,28.1374,28.1036,-0.463734,1.32313,0.012345176084650572,-0.003918476540104315,0.0059304251670837405,-1.6181664731186196,nan,0.001388888888888889,0.001388888888888889,147.77065534279114,3115.266114262281,2910.5523416195015,45931.97547912234,110.82716865131741,2417.9096106599995,-1.2677759650001719,79178.56125013682
19,265,2021-04-20 08:00:09,21.812,30.8471,23.5359,19.5824,25.1255,31.8977,25.7344,16.9155,23.6374,28.002,27.9682,27.4942,26.6819,25.6329,31.83,29.6953,28.6115,28.1374,28.1374,-0.463734,1.32313,0.012395432923205744,-0.003900444612663126,0.005959390640258789,-1.566315934073594,nan,0.0016666666666666668,0.0016666666666666668,146.315843211605,3072.889039691538,2906.0679013453164,45974.04995339166,116.09052948604862,2460.343824007485,-1.0876008063469036,79097.15600628882
20,269,2021-04-20 08:00:15,21.812,30.8471,23.5698,19.5824,25.1255,31.8977,25.7344,16.9492,23.6374,27.9682,27.9343,27.4604,26.7157,25.6329,31.8638,29.6614,28.5776,28.1713,28.1713,4.26027,1.32313,0.012395432923205744,0.03566678097737459,0.00595192813873291,-1.1708821495452086,nan,0.0016666666666666668,0.0019444444444444444,148.19098826561986,3242.0265432165857,3681.4857062986903,45969.010817144626,117.74767075272801,2491.312736908105,-0.9947789093141219,78995.77468772972
21,273,2021-04-20 08:00:22,21.812,30.8471,23.5021,19.5824,25.1255,31.8977,25.7682,16.9155,23.6712,27.9682,27.9682,27.4604,26.6819,25.6329,31.8638,29.6953,28.5776,28.1374,28.1036,1.89827,-1.04402,-0.009740635296239291,0.016040071380972323,0.006925100803375244,-0.9556641152928385,nan,0.0019444444444444444,0.0016666666666666668,147.05113795649143,3167.849851514349,3642.767957943074,45952.962155371984,124.28698893797296,2717.3218537608345,-0.9774870478618057,78814.85693298167
22,276,2021-04-20 08:00:27,21.8458,30.8471,23.5359,19.6161,25.1255,31.8638,25.8359,16.8817,23.6712,27.9682,27.9343,27.4942,26.6819,25.6329,31.8977,29.6953,28.6115,28.1374,28.239,-0.463734,1.32313,0.012294453174062565,-0.0039002654870919345,0.0060758647918701175,-0.9361062579494724,nan,0.001388888888888889,0.0016666666666666668,147.83768125986964,3226.8680523712073,2753.837675884195,45931.823704097755,128.8377043889893,2788.1023903956475,-0.8620948275896392,78633.50896332074
23,280,2021-04-20 08:00:34,21.812,30.8471,23.5359,19.5486,25.0578,31.8977,25.8021,16.9155,23.705,28.002,27.9682,27.4604,26.6819,25.6329,31.8977,29.7291,28.5438,28.1713,28.1036,-2.82574,0.534077,0.004962428818389952,-0.023767164710344083,0.006299323081970215,-1.0954583877154853,nan,0.0019444444444444444,0.0016666666666666668,147.40586822360783,3227.861752601301,3241.4770889936003,45942.47557523507,133.7397131084365,2909.7908911615814,-0.7831210591868145,78445.97194725806
24,284,2021-04-20 08:00:41,21.812,30.8471,23.5021,19.5824,25.0578,31.8977,25.8359,16.9492,23.705,28.002,27.9682,27.4604,26.7157,25.5991,31.8638,29.7291,28.6115,28.1713,28.0697,-0.463734,1.32313,0.012293992144346781,-0.003918476540104315,0.004694512367248535,-1.0914280466329862,nan,0.0019444444444444444,0.0016666666666666668,147.21756495306582,3102.180040074772,3819.095414580155,45947.76002660788,136.19642408624247,2962.015056324455,-0.7021526492157362,78242.87820698947
25,287,2021-04-20 08:00:46,21.8458,30.881,23.5359,19.6161,25.0578,31.8977,25.8697,16.9155,23.705,27.9682,27.9682,27.4942,26.6819,25.6329,31.8638,29.6953,28.6115,28.1713,28.2052,-0.463734,1.32313,0.012293992144346781,-0.003918349932875447,0.005426387786865235,-1.073366775814408,nan,0.001388888888888889,0.0016666666666666668,146.4220249116257,3153.632282857593,2795.3487586472665,45921.26760766288,142.8262550562439,3047.2562826600188,-0.5936949575078989,78110.41817309908
26,290,2021-04-20 08:00:51,21.812,30.8471,23.5021,19.5486,25.0578,31.8638,25.8697,16.9492,23.6712,28.002,27.9682,27.4942,26.6819,25.6667,31.8977,29.6953,28.6453,28.1713,28.2729,-0.463734,1.32313,0.012294453174062565,-0.003918476540104315,0.005480192184448242,-1.0625784152535123,nan,0.001388888888888889,0.001388888888888889,147.13159697660475,3192.0249495895396,2921.9379289892836,45952.802526700485,144.79254246674344,3098.5410047555706,-0.5384844808112504,77931.36889047304
27,293,2021-04-20 08:00:57,21.8458,30.8133,23.5021,19.5824,25.024,31.8977,25.8359,16.9492,23.705,27.9682,27.9343,27.4604,26.6819,25.6329,31.8977,29.6614,28.5776,28.1374,28.1036,4.26027,1.32313,0.012293992144346781,0.035831282689414976,0.005722620964050293,-0.7963218337316561,nan,0.0016666666666666668,0.0016666666666666668,145.85784151130733,3163.4344670915275,3072.6025994774077,45984.77532137662,151.79670064323824,3325.8541958044925,-0.5091215547722081,77748.0651570237
28,297,2021-04-20 08:01:04,21.812,30.8471,23.5359,19.5824,25.024,31.8977,25.9036,16.9155,23.7388,27.9343,28.002,27.4604,26.6819,25.6667,31.83,29.6953,28.5776,28.1374,28.239,-5.18774,1.32313,0.012243271754917294,-0.04363383434231047,0.005094274520874024,-1.0846148616898972,nan,0.0019444444444444444,0.0016666666666666668,144.9130143897397,3101.942439555103,2672.437408766757,45963.465427199466,157.51133441340212,3441.34664978744,-0.44483862241515576,77440.37131870056
29,300,2021-04-20 08:01:09,21.8458,30.8471,23.5021,19.5824,25.024,31.8977,25.8697,16.9492,23.705,28.002,27.9343,27.4942,26.6819,25.5991,31.83,29.6953,28.5776,28.1374,28.2052,-0.463734,2.11217,0.019625434679528802,-0.003918296586427709,0.005947647094726563,-1.0657036959548372,nan,0.001388888888888889,0.0016666666666666668,147.22219836237053,3157.9887676395933,3003.4129989434036,45947.766595234454,168.07518393280057,3544.398066437139,-0.34098325135416874,77218.46768204057
30,303,2021-04-20 08:01:14,21.8458,30.881,23.5359,19.5824,25.024,31.8977,25.9036,16.9492,23.705,28.002,27.9682,27.4604,26.6819,25.6329,31.7961,29.6953,28.6115,28.1374,28.239,-0.463734,1.32313,0.012293992144346781,-0.003918349932875447,0.006283230304718018,-1.0523767421487893,nan,0.001388888888888889,0.001388888888888889,148.83121440121198,3175.1111380505617,3064.02334101206,45953.01952315114,168.79652837060544,3570.309652385357,-0.302381967031031,77081.44765976342
31,306,2021-04-20 08:01:19,21.8458,30.8471,23.5021,19.5824,25.024,31.9316,25.9374,16.9155,23.7388,28.002,27.9343,27.4942,26.6819,25.6667,31.8638,29.7291,28.5776,28.1374,28.2052,-0.463734,1.32313,0.012293530990229654,-0.003918296586427709,0.00432255744934082,-1.045165375005074,nan,0.001388888888888889,0.0016666666666666668,147.6181494219392,3237.37930430688,3468.2627585639125,45937.16471855923,173.42196948009754,3699.663430359296,-0.26675881463503487,76975.61981085605
32,309,2021-04-20 08:01:24,21.8458,30.8471,23.5359,19.5824,24.9902,31.8638,25.9374,16.9155,23.7388,27.9682,27.9343,27.4942,26.6819,25.5991,31.8977,29.7291,28.5099,28.1374,28.1036,-0.463734,0.534077,0.004921666645006605,-0.0039002654870919345,0.005659385681152344,-1.0359771997947818,nan,0.001388888888888889,0.001388888888888889,145.46477946993653,3157.2293458106465,3746.553302600849,45947.681289510976,182.21389566702953,3906.9283061308547,-0.22357134938777762,76740.30305781479
33,312,2021-04-20 08:01:29,21.812,30.8471,23.5359,19.5824,24.9902,31.8638,25.9036,16.9492,23.7388,28.002,27.9682,27.4604,26.6819,25.5991,31.7961,29.6953,28.5099,28.1713,28.2729,-5.18774,1.32313,0.012193007352886547,-0.04363383434231047,0.004178406715393067,-1.2118759520463336,nan,0.001388888888888889,0.001388888888888889,146.71129506626485,3219.1311981397726,4211.953898327097,45963.445526903924,184.04589666709404,3992.051842020242,-0.19711882103652728,76624.81605011762
34,316,2021-04-20 08:01:36,21.8458,30.8133,23.5698,19.5824,24.9902,31.8638,25.9374,16.9155,23.7726,27.9682,27.9682,27.4604,26.6819,25.6667,31.8977,29.6953,28.6115,28.1374,28.2052,1.89827,-0.25497,-0.002339844357132601,0.01581768839539137,0.00589651107788086,-1.0786180949422808,nan,0.0019444444444444444,0.0016666666666666668,148.10950322393245,3149.017760495007,5316.80171940812,45926.352400080126,188.1454200167334,4046.790843501929,-0.1544738748627967,76490.7207886514
35,319,2021-04-20 08:01:41,21.8458,30.881,23.5359,19.5824,24.9563,31.83,25.9712,16.9155,23.7726,28.002,27.9343,27.4604,26.6819,25.6329,31.8977,29.6953,28.5776,28.1374,28.2052,-0.463734,1.32313,0.012092160656957498,-0.003918349932875447,0.006470891952514648,-1.059913486714129,nan,0.001388888888888889,0.0016666666666666668,147.239715889339,3195.8952499106226,6215.161447948446,45947.73476120848,193.73127135798813,4100.759125356888,-0.09592274970536038,76309.93619313563
