,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP
0,8695,2021-02-22 11:58:54,20.7983,26.0051,24.5166,19.785,22.1838,25.8359,22.0148,16.5443,22.6232,26.1743,26.2419,25.7682,25.4976,23.4345,26.2419,26.4111,26.3435,26.2758,26.3096,-0.463734,0.534077,0.001971742946925309,-0.0007951879264401266,0.005260478973388672,-0.15116261756344035
1,8696,2021-02-22 11:58:56,20.7983,26.0051,24.6519,19.785,22.2176,25.7682,22.0148,16.5105,22.6232,26.1743,26.2419,25.7682,25.4976,23.4007,26.2081,26.4111,26.3435,26.1066,26.3435,-0.463734,-1.04402,-0.003773164288784638,-0.0007229078280542683,0.0059888167381286625,-0.10658008022449172
2,8698,2021-02-22 11:59:00,20.8321,26.0051,24.5843,19.785,22.1838,25.8359,22.0148,16.5105,22.6232,26.1066,26.2419,25.8359,25.4976,23.4007,26.2081,26.4111,26.3096,26.3096,26.3096,-2.82574,1.32313,0.004884824183339262,-0.004624847070991607,0.005796670913696289,-0.4694155664987167
3,8700,2021-02-22 11:59:03,20.7983,26.0051,24.5504,19.8525,22.1838,25.8021,22.0148,16.5105,22.5894,26.2758,26.2419,25.8021,25.4976,23.4007,26.2419,26.4111,26.3435,26.3435,26.3435,-0.463734,2.11217,0.0077982179143401675,-0.000777131257368124,0.005106912612915039,-0.3899949535257202
4,8702,2021-02-22 11:59:06,20.8321,26.0051,24.5504,19.8525,22.2852,25.8021,22.0486,16.4768,22.6232,26.1404,26.2419,25.8359,25.4976,23.4007,26.2419,26.3773,26.3435,26.1066,26.3096,-0.463734,2.90122,0.010598240639932857,-0.0007770958796652933,0.12881005859375,-0.04544851993153172
5,8704,2021-02-22 11:59:10,20.7983,26.0051,24.6519,19.8525,22.2176,25.8021,22.0148,16.5443,22.6232,26.2081,26.2758,25.8021,25.4976,23.4007,26.2081,26.4111,26.3435,26.1743,26.3096,502.643,2.90122,0.010598240639932857,0.7835624720565705,0.27132574462890624,2.235339113882441
6,8706,2021-02-22 11:59:13,20.8321,25.5314,24.9225,19.481,22.2514,25.8697,22.0486,17.1179,22.5894,26.1404,26.2419,25.7682,25.4976,23.4007,26.2419,26.4111,26.3435,26.0728,26.3435,731.757,2.11217,0.007962304050926034,0.5132690632800481,0.2669057312011719,2.1212114263520823
7,8708,2021-02-22 11:59:17,20.7983,25.024,25.1255,18.9745,22.1838,25.8021,22.0148,17.8267,22.6232,26.1743,26.2419,25.7682,25.4976,23.4007,26.2081,26.4111,26.3435,26.1743,26.3435,852.219,0.534077,0.0019509987406171958,-0.09964815326549945,0.2632453308105469,1.309838678365244
8,8710,2021-02-22 11:59:20,20.7983,24.7872,25.1931,18.6031,22.15,25.8359,22.0486,17.928,22.6232,26.2758,26.2419,25.8021,25.4976,23.4345,26.2081,26.3773,26.3096,26.3435,26.3435,930.166,2.11217,0.007797857425440954,-0.43494216508934114,0.263590087890625,0.6849964892035898
9,8713,2021-02-22 11:59:25,20.8321,24.9225,25.3284,18.2655,22.2514,25.8697,22.0486,17.8942,22.5894,26.2081,26.2419,25.8021,25.4976,23.4007,26.2081,26.3773,26.3096,26.1404,26.3096,960.872,1.32313,0.004987838743520533,-0.4492797228872768,0.262380126953125,0.13052390732153782
10,8715,2021-02-22 11:59:29,20.7983,24.9902,25.4637,18.0967,22.2514,25.8359,22.0148,17.7929,22.5894,26.1743,26.2758,25.8359,25.5314,23.4007,26.2081,26.3773,26.2758,26.1404,26.3096,972.682,-0.25497,-0.0009512634602053625,-0.5305702103944188,0.26078018188476565,-0.22284686391546318
11,8717,2021-02-22 11:59:32,20.7983,25.0578,25.4976,17.9617,22.2176,25.8021,22.0148,17.7929,22.5894,26.2081,26.2419,25.8359,25.5314,23.4007,26.2419,26.3096,26.2419,26.3773,26.3096,979.768,-0.25497,-0.0009413596545824022,-0.496398517493315,0.26039962768554686,-0.4062057566036196
12,8719,2021-02-22 11:59:36,20.7983,25.1255,25.4637,17.8942,22.1838,25.8021,22.0148,17.7592,22.5894,26.1066,26.2419,25.8021,25.5314,23.4007,26.2081,26.3435,26.1743,26.3096,26.3435,986.854,1.32313,0.00488505000497162,-0.3844842099689035,0.2611482849121094,-0.5595157683673568
13,8721,2021-02-22 11:59:39,20.8321,25.1593,25.4637,17.8267,22.2852,25.8697,22.0148,17.7254,22.657,26.1743,26.2419,25.8021,25.5314,23.3669,26.2419,26.2758,26.1404,26.0728,26.3435,984.492,0.534077,0.001971651773225192,-0.3452145311965615,0.2608194274902344,-0.6097338487519369
14,8723,2021-02-22 11:59:42,20.7983,25.1931,25.5652,17.7929,22.2176,25.8021,22.0486,17.6579,22.657,26.1404,26.2758,25.8021,25.5314,23.4007,26.2081,26.2758,26.2081,26.2081,26.3096,984.492,0.534077,0.0019301652790396071,-0.42201108741700005,0.26230697631835936,-0.6720613861529617
15,8725,2021-02-22 11:59:46,20.8321,25.2269,25.5652,17.7254,22.2176,25.8359,22.0148,17.6579,22.6908,26.1404,26.2419,25.8359,25.5314,23.4007,26.1743,26.2419,26.1404,26.2419,26.3435,984.492,2.90122,0.01048458387183738,-0.3836599076997299,0.2596885986328125,-0.7654416434566836
16,8727,2021-02-22 11:59:49,20.8321,25.2608,25.5652,17.7254,22.319,25.8359,22.0148,17.5904,22.7246,26.1404,26.2419,25.8359,25.5314,23.4007,26.1404,26.2419,26.1066,26.1404,26.3096,984.492,2.11217,0.0075506917701970225,-0.34521453119656553,0.26048367309570314,-0.803127571410483
17,8729,2021-02-22 11:59:53,20.7983,25.2946,25.5991,17.6579,22.2176,25.8359,22.0148,17.5567,22.7922,26.1743,26.2758,25.8697,25.5652,23.4345,26.1743,26.2758,26.1066,26.2419,26.3096,984.492,-1.04402,-0.0036507865484683654,-0.34534366062477023,0.36131402587890626,-0.8200303654234159
18,8731,2021-02-22 11:59:56,20.7983,25.3284,25.6329,17.6579,22.2852,25.8021,22.0148,17.5567,22.7922,26.1404,26.2758,25.9374,25.5314,23.4345,26.1743,26.2081,26.1066,26.1743,26.3096,984.492,0.534077,0.0018468504154516225,-0.34534366062477023,0.4691506958007813,-0.8118622434162732
19,8733,2021-02-22 12:00:00,20.7983,25.3623,25.5991,17.6242,22.2514,25.8021,22.0148,17.4892,22.8598,26.1404,26.2758,25.9374,25.5314,23.4345,26.0728,26.1743,26.1066,26.0728,26.2758,984.492,1.32313,0.004472239162748394,-0.26856282047929375,0.5855040893554687,-0.7901706387710294
20,8735,2021-02-22 12:00:03,20.7983,25.4976,25.6329,17.5904,22.3528,25.8359,22.0148,17.2867,22.8936,26.1066,26.2758,25.8697,25.5314,23.4683,26.1404,26.2419,26.1066,26.2081,26.2758,986.854,2.90122,0.009805800303753198,-0.15381642107863067,0.7214738159179688,-0.7222354502341668
21,8737,2021-02-22 12:00:06,20.8321,25.9712,25.5991,17.5904,22.2176,25.8021,22.0486,17.1517,22.9612,26.1743,26.2419,25.9036,25.5314,23.5359,26.1404,26.1404,26.0728,26.0728,26.2758,984.492,1.32313,0.004317512787934632,0.4219918760126197,0.9065610961914062,-0.5457151098031352
22,8739,2021-02-22 12:00:10,20.7983,26.7496,25.5991,17.5567,22.2852,25.7682,22.0148,16.8817,22.9274,26.1404,26.2419,25.9036,25.5652,23.5021,26.1404,26.2081,26.0728,26.1743,26.2419,991.578,1.32313,0.0043175609620178055,1.3142122330320063,1.1157166748046876,-0.2663535100021416
23,8741,2021-02-22 12:00:13,20.7983,27.4604,25.6329,17.5567,22.1838,25.7682,22.0148,16.6118,22.9612,26.1404,26.2419,25.9374,25.5652,23.5359,26.0728,26.1743,26.1066,25.9712,26.2758,986.854,-0.25497,-0.0008220659609204866,2.077601696387257,1.40190234375,-0.016820125264365205
24,8743,2021-02-22 12:00:17,20.7983,28.0359,25.7006,17.5229,22.2176,25.7682,22.0486,16.2406,23.0288,26.0389,26.2419,25.9712,25.5991,23.5359,26.1066,26.1743,26.1404,26.1404,26.2081,984.492,2.90122,0.009127902656537167,2.6485420382825082,1.4382562255859375,0.27435534836759906
25,8745,2021-02-22 12:00:20,20.8321,28.5438,25.5991,17.5229,22.319,25.8359,22.0148,15.937,23.0626,26.1404,26.2419,25.9036,25.5991,23.5698,26.1404,26.2081,26.2081,26.0051,26.2419,984.492,1.32313,0.004214189919080651,3.3395309790227437,1.459707275390625,0.4889076506857903
26,8747,2021-02-22 12:00:24,20.7983,29.0856,25.6329,17.4892,22.319,25.7682,22.0148,15.5997,23.0964,26.1066,26.2419,25.9712,25.6329,23.5698,26.1404,26.3096,26.2419,26.0389,26.2419,984.492,2.90122,0.008901827783619087,3.915822847419182,1.4744052734375,0.7855044864935647
27,8749,2021-02-22 12:00:27,20.7983,29.3904,25.7006,17.4892,22.1838,25.8021,22.0486,15.3636,23.164,26.1066,26.2758,25.9374,25.6329,23.5698,26.1404,26.3773,26.3435,26.1066,26.2081,984.492,1.32313,0.004008187431423412,4.184725907958204,1.4659542236328125,0.940189772174632
28,8751,2021-02-22 12:00:31,20.7983,29.4243,25.6667,17.4554,22.2852,25.8359,22.0148,15.3636,23.1302,26.0728,26.2081,25.9712,25.5991,23.6036,26.1066,26.445,26.445,26.1066,26.2419,989.216,1.32313,0.004111086139607116,4.282069178455255,1.4641346435546876,1.173243870393484
29,8753,2021-02-22 12:00:34,20.8321,29.2549,25.7006,17.4554,22.2852,25.8021,22.0148,15.431,23.164,26.1743,26.2419,25.9712,25.5991,23.6374,26.2081,26.5127,26.5127,26.1404,26.2419,984.492,0.534077,0.0016178914534568196,4.030867306938067,1.4655107421875,1.288487706714167
30,8755,2021-02-22 12:00:37,20.7983,29.0179,25.7682,17.4554,22.2852,25.7682,22.0148,15.5659,23.2317,26.0728,26.2419,26.0389,25.6667,23.6374,26.2758,26.5803,26.5803,26.4111,26.3096,984.492,1.32313,0.0038534632713398587,3.685593740336003,1.4716115722656251,1.341050246709897
31,8757,2021-02-22 12:00:41,20.7983,28.7469,25.7344,17.4554,22.2176,25.7682,22.0148,15.5997,23.2317,26.1404,26.2419,26.0389,25.6329,23.6712,26.2758,26.6142,26.6142,26.3096,26.2419,982.13,1.32313,0.0038534632713398587,3.4083801906895994,1.47448193359375,1.4503196764094326
32,8758,2021-02-22 12:00:43,20.8321,28.6453,25.6667,17.4554,22.2514,25.8021,22.0486,15.6334,23.164,26.1404,26.2419,26.0051,25.6667,23.705,26.3435,26.648,26.648,26.3773,26.3096,989.216,1.32313,0.004008187431423412,3.39418528389049,1.4756368408203124,1.455231297008844
33,8760,2021-02-22 12:00:46,20.7983,28.5099,25.7006,17.4217,22.319,25.8021,22.0148,15.6671,23.1979,26.0728,26.2419,25.9712,25.6667,23.705,26.3435,26.6819,26.6819,26.3773,26.3096,984.492,-0.25497,-0.0007624255427439513,3.186121332654066,1.47578759765625,1.494501334298239
34,8762,2021-02-22 12:00:49,20.7983,28.4422,25.6667,17.4217,22.2176,25.8359,22.0148,15.6334,23.2317,26.1404,26.2419,26.0051,25.7006,23.705,26.3773,26.6142,26.7157,26.4788,26.3096,984.492,2.11217,0.006315635324907003,3.1477876192579552,1.472539794921875,1.502016784914556
35,8764,2021-02-22 12:00:53,20.7983,28.4422,25.7006,17.4217,22.15,25.7682,22.0148,15.6334,23.2655,26.2081,26.2419,26.0389,25.7006,23.705,26.3773,26.6819,26.7157,26.4111,26.3435,984.492,2.11217,0.006069198199460442,3.109340492508594,1.4645347900390626,1.5671601757855966
