,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp,timeStamp_watt,entropy_kJ/K,entropy_kJ,nStratCharging,TotalTanksEnergyForAvailability_kJ,DisEntropy_kj/K,DisEntropy_kj,nStratDischarge,DisTotalTanksEnergyForAvailability_kJ
0,535,2021-05-24 08:35:20,21.812,25.0916,22.0486,21.7782,21.2038,25.3284,22.8936,19.9201,22.0824,24.077,23.8403,23.2993,23.0288,22.6232,25.6329,25.6329,25.3284,24.7534,24.449,-0.463734,1.32313,0.004917023748517763,-0.001623406958684469,0.0058770933151245115,-0.27622632266725017,nan,0.0005555555555555556,0.0005555555555555556,54.60948521409333,1162.2673968783447,-10007.688321909065,39752.15657674412,23.734945572847757,521.9783907024431,-34.15253171014714,79769.78196954135
1,539,2021-05-24 08:35:26,21.812,25.0578,22.0486,21.7782,21.2038,25.3284,22.8598,19.9539,22.0486,24.077,23.8064,23.3331,22.995,22.6232,25.6329,25.6667,25.3284,24.7534,24.4152,-0.463734,2.90122,0.010893797498994395,-0.0016053750312432814,0.005538629055023193,-0.2862907472648939,nan,0.0016666666666666668,0.0016666666666666668,52.14970050403241,1118.6081935908414,-5109.035500465073,39810.968785278434,36.8803831327979,795.7424611042965,-17.660589276926096,79740.38093792163
2,542,2021-05-24 08:35:31,21.7782,25.0578,22.0486,21.812,21.2714,25.3284,22.8936,19.9201,22.0148,24.077,23.8064,23.3331,23.0288,22.6232,25.5991,25.5991,25.2946,24.8548,24.449,-0.463734,1.32313,0.005019423873409875,-0.0016054487392323884,0.005222850799560547,-0.2940400288689804,nan,0.001388888888888889,0.001388888888888889,55.28285239875564,1167.8380219752235,-4515.063131617835,39789.527759580764,54.374601689168,1169.075809516704,-9.28450328186574,79709.22437101162
3,546,2021-05-24 08:35:37,21.7782,25.0578,22.0486,21.7106,21.17,25.3284,22.826,19.9539,21.981,24.0432,23.8064,23.2993,23.0288,22.6232,25.5991,25.6329,25.2946,24.8887,24.3813,6.62228,1.32313,0.005070623935855931,0.022926356654555977,0.005979300022125244,1.0327255277006926,nan,0.0016666666666666668,0.0019444444444444444,52.400581337470555,1110.8762425176267,-263.08815465720244,39752.1472366332,63.31897280733475,1352.9034354574549,-6.133051078703823,79643.28781949615
4,550,2021-05-24 08:35:44,21.812,25.0578,22.0486,21.812,21.2376,25.3284,22.826,19.9201,22.0148,24.077,23.7726,23.3331,23.0288,22.6232,25.6667,25.6667,25.3284,24.8887,24.5843,4.26027,0.534077,0.0020260736617257005,0.014748392579269182,0.006074772834777832,1.4717857835548875,nan,0.0019444444444444444,0.0016666666666666668,25.36398127690694,548.2705886645185,-34.17951291771199,39811.01339831501,66.20005673637209,1417.799363312562,-4.445004148260822,79680.19920896094
5,554,2021-05-24 08:35:50,21.7782,25.0916,22.0486,21.7782,21.2376,25.3284,22.8936,19.9201,21.981,24.0093,23.7726,23.2993,23.0288,22.6232,25.7006,25.6667,25.2946,24.821,24.6181,1.89827,0.534077,0.00204674039572085,0.006645633524202678,0.006156452655792236,1.3494318067725084,nan,0.0016666666666666668,0.0019444444444444444,-5.071658252500523,-108.17318341526598,5.68376519839712,39778.9148515243,70.81928374406013,1517.9946306042034,-3.268388358034972,79646.85242965556
6,558,2021-05-24 08:35:57,21.812,25.0578,22.0486,21.7782,21.2376,25.3284,22.7922,19.9539,22.0148,24.077,23.8064,23.3331,23.0288,22.6232,25.5652,25.6667,25.3284,24.8548,24.6519,-0.463734,1.32313,0.005019423873409875,-0.0016053750312432814,0.005281672477722168,1.1085586056937764,nan,0.0019444444444444444,0.0016666666666666668,-66.01764797306075,-1446.755779030775,55.89370373211514,39843.03673143459,75.61774872911698,1636.0649644358014,-2.6380697656196075,79496.05643095604
7,561,2021-05-24 08:36:02,21.7782,25.024,22.0486,21.7106,21.17,25.3284,22.8598,19.9201,22.0148,24.0432,23.7726,23.3331,23.0288,22.6232,25.5652,25.6667,25.2946,24.7872,24.7196,-5.18774,1.32313,0.005019423873409875,-0.01775824372646543,0.005622139930725098,0.6193173697259546,nan,0.001388888888888889,0.0016666666666666668,-80.73431154647547,-1729.896982695648,64.5372132350812,39794.935895660485,76.33245408038667,1663.4119359331908,-2.2511089610947987,79470.49863120969
8,565,2021-05-24 08:36:08,21.812,25.0578,22.0486,21.7444,21.2038,25.3284,22.7922,19.9201,22.0824,24.0432,23.7726,23.2993,23.0288,22.6232,25.5652,25.7006,25.3284,24.821,24.449,-0.463734,0.534077,0.0019847401937354014,-0.0016053750312432814,0.0055884504318237304,0.5250860112557498,nan,0.0016666666666666668,0.001388888888888889,-84.25504904108749,-1799.286775647202,66.55490492692245,39762.94238345292,79.04219131567689,1680.354722303126,-1.7471049324578984,79449.4402051646
9,568,2021-05-24 08:36:13,21.7782,25.024,22.0486,21.7444,21.2714,25.3284,22.826,19.9201,21.981,24.0432,23.7726,23.2993,23.0288,22.657,25.6667,25.6329,25.3284,24.7534,24.4152,238.099,1.32313,0.005070623935855931,0.8150408603799907,0.279733154296875,2.1510914432395145,nan,0.001388888888888889,0.0016666666666666668,-84.54281343154645,-1786.837359286967,66.10132503241267,39768.354687546795,81.34460908059786,1714.0370532934537,-1.4100669014106952,79399.08570736248
