,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp
0,3358,2021-03-12 09:51:43,22.7584,23.164,22.2176,20.2916,22.8598,25.4299,25.0578,19.4135,22.4204,22.1162,22.1838,22.15,22.2852,22.15,25.3623,23.9755,23.164,22.3866,22.15,941.976,2.11217,0.007306675822308077,1.0242605676098975,0.2627625732421875,3.898039555073954,nan,0.0005555555555555556
1,3360,2021-03-12 09:51:47,22.7584,22.7584,22.2514,20.2916,22.7584,25.4637,24.9902,19.6161,22.4204,22.0824,22.1838,22.15,22.2514,22.1162,25.2608,24.077,23.4345,22.4204,22.15,958.51,1.32313,0.0046285387532637445,0.5583422488583449,0.26255541992187503,3.26067581231761,nan,0.0011111111111111111
2,3363,2021-03-12 09:51:52,22.7584,22.488,22.2176,20.2241,22.8598,25.4976,24.9563,19.8188,22.4204,22.0824,22.2176,22.15,22.2176,22.15,25.3961,24.1784,23.7388,22.4204,22.15,967.958,1.32313,0.004680097082621888,0.3007177648755793,0.26202615356445313,2.4501296767371596,nan,0.001388888888888889
3,3365,2021-03-12 09:51:55,22.7246,22.3528,22.2514,20.1903,22.7584,25.4976,25.0916,19.8188,22.4204,22.0824,22.1838,22.15,22.2852,22.15,25.4299,24.3137,23.8741,22.488,22.4204,977.406,1.32313,0.004680097082621888,0.11387514394858131,0.26222393798828125,1.6684128528166928,nan,0.0008333333333333334
4,3368,2021-03-12 09:52:00,22.7584,22.3528,22.2514,20.1565,22.8598,25.4976,24.9563,19.8863,22.4204,22.0824,22.1838,22.15,22.2514,22.15,25.3623,24.3475,23.9755,22.8598,22.3866,982.13,-1.04402,-0.0036928457190139306,0.11442022991335192,0.260986083984375,1.4204189156176565,nan,0.001388888888888889
5,3370,2021-03-12 09:52:04,22.7584,22.319,22.2176,20.1227,22.7246,25.4976,24.9902,19.9201,22.3866,22.1162,22.2176,22.15,22.2852,22.15,25.1931,24.449,24.0432,22.995,22.3866,982.13,1.32313,0.0047317216844558,0.11442022991335192,0.25950341796875,1.243730453962211,nan,0.0011111111111111111
6,3372,2021-03-12 09:52:07,22.7922,22.319,22.2514,20.0214,22.7246,25.4637,25.024,19.8863,22.4204,22.1162,22.15,22.15,22.2514,22.15,25.2946,24.4152,24.077,23.0964,22.1838,982.13,2.11217,0.00738873784018281,0.07627662208786265,0.2608597106933594,1.0864845054327887,nan,0.0008333333333333334
7,3375,2021-03-12 09:52:13,22.7246,22.2852,22.2514,19.9876,22.7584,25.4976,25.0578,19.8863,22.4204,22.1162,22.1838,22.15,22.2514,22.15,24.9902,24.4828,24.1446,23.2993,22.1838,982.13,2.90122,0.010262023578971283,0.03814184181606558,0.29576724243164065,0.9541013431298689,nan,0.0016666666666666668
8,3377,2021-03-12 09:52:16,22.7246,22.2852,22.2514,19.9539,22.7246,25.4299,24.9563,19.8188,22.4204,22.15,22.2176,22.15,22.2514,22.15,24.8548,24.4828,24.1784,23.4345,22.3866,982.13,2.11217,0.007306675822308077,0.03814184181606558,0.38730511474609375,0.8110086682945437,nan,0.0008333333333333334
9,3379,2021-03-12 09:52:19,22.7584,22.2852,22.2514,19.9201,22.826,25.4637,25.0916,19.7512,22.4204,22.0824,22.1838,22.15,22.2514,22.15,24.8548,24.3813,24.1108,23.4683,22.4204,979.768,1.32313,0.0046285387532637445,0.03804835063306114,0.490048095703125,0.6825882782780998,nan,0.0008333333333333334
10,3381,2021-03-12 09:52:23,22.7922,22.4204,22.2176,19.8863,22.826,25.4299,24.9563,19.6161,22.4204,22.0486,22.2176,22.15,22.2514,22.15,24.7872,24.449,24.1446,23.5698,22.319,977.406,1.32313,0.004577132513372734,0.2277292051614678,0.646570556640625,0.6518281581487404,nan,0.0011111111111111111
11,3383,2021-03-12 09:52:26,22.7246,22.6908,22.2514,19.8188,22.8598,25.4976,25.0578,19.3797,22.4204,22.15,22.2176,22.15,22.2514,22.15,24.5843,24.449,24.2122,23.6374,22.2514,984.492,-0.25497,-0.000901864785135325,0.4970364368580271,0.80196875,0.6157734087410355,nan,0.0008333333333333334
12,3386,2021-03-12 09:52:31,22.7584,23.164,22.2514,19.785,22.7584,25.4299,25.024,18.907,22.3866,22.1162,22.15,22.15,22.2514,22.1162,24.6181,24.3813,24.2461,23.6712,22.3866,982.13,0.534077,0.0018683804130717103,1.0297820692201873,1.0094278564453125,0.7445527301710825,nan,0.001388888888888889
13,3388,2021-03-12 09:52:35,22.7584,23.5021,22.2176,19.7174,22.7584,25.4299,25.0578,18.5018,22.3866,22.0486,22.15,22.15,22.2514,22.1162,24.4828,24.4152,24.2461,23.8741,22.15,982.13,1.32313,0.004628752363325085,1.44943575269924,1.35321533203125,0.8123055631727948,nan,0.0011111111111111111
14,3391,2021-03-12 09:52:40,22.7246,23.9417,22.2514,19.6837,22.826,25.4637,25.024,17.9955,22.4204,22.1162,22.2176,22.15,22.2514,22.1162,24.4152,24.3813,24.2122,23.8741,22.2514,982.13,2.90122,0.01014897190884028,1.907430627860853,1.4801468505859374,0.9175776982040631,nan,0.001388888888888889
15,3393,2021-03-12 09:52:44,22.7584,24.1784,22.2514,19.6499,22.7584,25.3961,25.024,17.7254,22.4204,22.0486,22.1838,22.15,22.2852,22.15,24.5166,24.3475,24.2461,23.9417,22.4204,982.13,2.90122,0.009923535540083473,2.174435730207427,1.4644204101562501,1.040763516306773,nan,0.0011111111111111111
16,3395,2021-03-12 09:52:47,22.7246,24.5504,22.2514,19.6161,22.8598,25.4299,25.1255,17.928,22.4204,22.0486,22.2176,22.15,22.2176,22.15,24.3813,24.3137,24.2461,23.9417,22.5556,982.13,-1.04402,-0.0036116011930886617,2.594322317607584,1.4201669921875,1.0837062695776942,nan,0.0008333333333333334
17,3397,2021-03-12 09:52:50,22.7246,24.6857,22.2176,19.5824,22.826,25.4299,24.9902,18.1642,22.3866,22.1162,22.2514,22.15,22.2514,22.15,24.3475,24.3813,24.2461,24.0093,22.657,982.13,1.32313,0.004628752363325085,2.785144372373762,1.390198486328125,1.1311201755232771,nan,0.0008333333333333334
18,3399,2021-03-12 09:52:54,22.7584,24.6857,22.2514,19.5486,22.8598,25.4637,25.1593,18.2318,22.4204,22.1162,22.1838,22.15,22.2514,22.1162,24.2799,24.3137,24.2461,23.9755,22.7922,982.13,2.90122,0.01014897190884028,2.7468754011644743,1.390972412109375,1.2487150312261825,nan,0.0011111111111111111
19,3401,2021-03-12 09:52:57,22.7246,24.5504,22.2514,19.5824,22.7922,25.4637,25.0578,18.1305,22.4204,22.1162,22.1838,22.1838,22.2514,22.1162,24.2461,24.4152,24.2799,24.0432,22.826,982.13,1.32313,0.0046285387532637445,2.594322317607584,1.4017877197265625,1.2619776525732505,nan,0.0008333333333333334
20,3404,2021-03-12 09:53:02,22.7246,24.3813,22.2514,19.5148,22.8598,25.4299,24.9902,17.9617,22.3866,22.3866,22.2176,22.15,22.2514,22.1162,24.3813,24.3137,24.2461,23.9079,23.1302,982.13,0.534077,0.0018683804130717103,2.4035002628414057,1.402940673828125,1.3682327728530743,nan,0.001388888888888889
21,3406,2021-03-12 09:53:06,22.7584,24.4152,22.2514,19.5148,22.8598,25.3961,24.9902,17.9617,22.3866,22.5556,22.2176,22.15,22.2176,22.1162,24.3813,24.3475,24.2461,24.1446,23.0626,979.768,1.32313,0.004577343751002809,2.4357698550242346,1.3985938720703126,1.398632674420313,nan,0.0011111111111111111
22,3408,2021-03-12 09:53:09,22.7584,24.4828,22.2514,19.481,22.7922,25.4637,24.9902,17.928,22.3866,22.6232,22.15,22.15,22.2514,22.15,24.1784,24.4152,24.3137,24.1446,23.2317,977.406,1.32313,0.004680160975647362,2.5058110117063794,1.3899465332031251,1.3951495010262154,nan,0.0008333333333333334
23,3410,2021-03-12 09:53:13,22.7584,24.5504,22.2514,19.5148,22.7246,25.4299,25.0916,17.9955,22.3528,22.6232,22.1838,22.15,22.2514,22.1162,24.3137,24.3137,24.2799,24.0432,23.3331,977.406,1.32313,0.004680376906690485,2.5817242609630564,1.383492919921875,1.4529984693409108,nan,0.0011111111111111111
24,3413,2021-03-12 09:53:18,22.7584,24.6519,22.2176,19.4473,22.826,25.4299,25.1593,17.9617,22.3866,22.7584,22.1838,22.15,22.2176,22.15,24.2122,24.3813,24.2461,23.9755,23.5359,979.768,0.534077,0.0018683804130717103,2.7402692291734447,1.37471240234375,1.4965445266633328,nan,0.001388888888888889
25,3415,2021-03-12 09:53:21,22.7584,24.7196,22.2514,19.4473,22.7584,25.4299,25.0578,17.8604,22.3866,22.826,22.2176,22.15,22.2852,22.15,24.2799,24.3137,24.2799,24.1108,23.5698,982.13,1.32313,0.004628752363325085,2.7851283182656834,1.3725291748046875,1.4980776191912553,nan,0.0008333333333333334
26,3417,2021-03-12 09:53:25,22.7246,24.7534,22.2514,19.4135,22.7922,25.4299,25.1255,17.8604,22.4204,22.826,22.2176,22.1162,22.2514,22.15,24.3137,24.3813,24.3137,24.0432,23.5359,977.406,1.32313,0.004577132513372734,2.8098186406248074,1.3713658447265624,1.5515683616551137,nan,0.0011111111111111111
27,3419,2021-03-12 09:53:28,22.7584,24.7534,22.2176,19.4135,22.826,25.4299,25.0916,17.8267,22.3866,22.826,22.2176,22.15,22.2514,22.15,24.1784,24.3137,24.2461,24.077,23.6712,979.768,1.32313,0.004628752363325085,2.854526850157341,1.370585205078125,1.552139447336938,nan,0.0008333333333333334
28,3422,2021-03-12 09:53:33,22.7922,24.821,22.2514,19.4135,22.826,25.4637,25.2269,17.7929,22.3528,22.8598,22.1838,22.15,22.2514,22.15,24.1784,24.2799,24.2799,24.077,23.705,979.768,1.32313,0.004731787890878888,2.8924412966810524,1.36411865234375,1.588293814520976,nan,0.001388888888888889
29,3424,2021-03-12 09:53:37,22.7246,24.821,22.2514,19.4135,22.826,25.4299,25.1255,17.7254,22.3866,22.995,22.2852,22.15,22.2514,22.1162,24.1784,24.3813,24.2461,24.077,23.7726,979.768,1.32313,0.004628752363325085,2.8927090733825036,1.366195556640625,1.6139555445129332,nan,0.0011111111111111111
30,3427,2021-03-12 09:53:42,22.7246,24.9225,22.2514,19.3797,22.7922,25.3961,25.1255,17.6917,22.3528,23.1302,22.2176,22.15,22.2176,22.15,24.1784,24.3813,24.2799,24.0093,23.7726,982.13,1.32313,0.004628965922502082,3.0142211146418516,1.367126953125,1.6668216704456698,nan,0.001388888888888889
31,3430,2021-03-12 09:53:47,22.7584,25.024,22.2514,19.3797,22.7584,25.4299,25.2269,17.6579,22.3528,23.1979,22.15,22.15,22.2514,22.15,24.2461,24.2799,24.2461,24.077,23.705,982.13,1.32313,0.004680376906690485,3.1286146889325974,1.356758056640625,1.7015306841633087,nan,0.001388888888888889
32,3432,2021-03-12 09:53:51,22.7246,25.024,22.2514,19.346,22.8598,25.4299,25.1931,17.6579,22.3866,23.2993,22.15,22.1838,22.2514,22.15,24.1784,24.2799,24.2461,24.077,23.8064,982.13,1.32313,0.004628752363325085,3.1287594857758982,1.3532403564453126,1.7268875725550556,nan,0.0011111111111111111
33,3434,2021-03-12 09:53:54,22.7584,25.0578,22.2514,19.3122,22.8598,25.3961,25.1931,17.5904,22.3528,23.3669,22.2176,22.15,22.2514,22.15,24.2122,24.2799,24.2799,24.1446,23.8064,982.13,0.534077,0.0018684666155193705,3.1667547655703814,1.350246337890625,1.7455294239133234,nan,0.0008333333333333334
34,3436,2021-03-12 09:53:57,22.7922,25.0916,22.2514,19.3122,22.826,25.3961,25.2269,17.5904,22.3866,23.4683,22.2176,22.15,22.2514,22.1162,24.2122,24.3137,24.2799,24.0093,23.8403,982.13,-0.25497,-0.0008820639968810217,3.2047464800880383,1.343107421875,1.7472216228668602,nan,0.0008333333333333334
35,3438,2021-03-12 09:54:01,22.7584,25.1255,22.2514,19.3122,22.7922,25.3961,25.2269,17.4892,22.3528,23.5359,22.2514,22.1838,22.2514,22.15,24.1108,24.2461,24.3137,24.1108,23.8741,982.13,0.534077,0.0018684666155193705,3.2431477593093745,1.3414366455078126,1.7720113628476413,nan,0.0011111111111111111
36,3440,2021-03-12 09:54:04,22.7584,25.1593,22.2514,19.3122,22.8598,25.3961,25.1593,17.4217,22.3528,23.5698,22.1838,22.15,22.2514,22.15,24.2461,24.3137,24.2799,24.1446,23.9079,977.406,1.32313,0.004628965922502082,3.265504992803165,1.3391065673828124,1.789966691454511,nan,0.0008333333333333334
37,3442,2021-03-12 09:54:08,22.7584,25.2269,22.2514,19.3122,22.8598,25.3961,25.2608,17.4554,22.3528,23.6374,22.2514,22.15,22.2514,22.1162,24.2122,24.2461,24.2799,24.0432,23.9755,982.13,-0.25497,-0.0008920117004832147,3.3575679892227304,1.33708837890625,1.8149331081560516,nan,0.0011111111111111111
38,3445,2021-03-12 09:54:13,22.7584,25.2608,22.2514,19.2784,22.8598,25.4637,25.2608,17.3879,22.3866,23.6374,22.2176,22.1162,22.2514,22.1162,24.2122,24.3137,24.3137,24.0093,24.0093,984.492,0.534077,0.0018891313275270132,3.4039877772888185,1.330442626953125,1.8456318158208187,nan,0.001388888888888889
39,3447,2021-03-12 09:54:16,22.7584,25.2946,22.2514,19.2784,22.7584,25.3961,25.2608,17.3879,22.3528,23.6712,22.2176,22.15,22.2176,22.1162,24.077,24.3137,24.2799,23.9755,23.9079,984.492,1.32313,0.004628965922502082,3.4422195799313253,1.327935546875,1.8636430340308807,nan,0.0008333333333333334
40,3449,2021-03-12 09:54:20,22.7246,25.2946,22.2514,19.2447,22.826,25.3961,25.2608,17.3542,22.4204,23.705,22.2852,22.15,22.2514,22.1162,24.077,24.2799,24.3137,24.1784,23.9755,982.13,-0.25497,-0.0008721171978185325,3.434119911676119,1.320570556640625,1.886484388310288,nan,0.0011111111111111111
41,3452,2021-03-12 09:54:25,22.7246,25.3623,22.2514,19.2447,22.7922,25.3961,25.1593,17.3542,22.3866,23.705,22.4204,22.15,22.2514,22.15,24.1446,24.2799,24.3137,24.077,24.0432,982.13,0.534077,0.0018476294986164076,3.5105164409941003,1.32020068359375,1.929689914698337,nan,0.001388888888888889
42,3454,2021-03-12 09:54:28,22.7584,25.3623,22.2852,19.2447,22.826,25.3961,25.3284,17.3204,22.3528,23.7726,22.5894,22.15,22.2514,22.15,24.1108,24.2799,24.3813,24.1784,23.9755,986.854,1.32313,0.004628965922502082,3.4889150887690112,1.312793212890625,1.931533881175468,nan,0.0008333333333333334
43,3456,2021-03-12 09:54:32,22.7584,25.3961,22.2514,19.2447,22.7584,25.4299,25.2269,17.2867,22.3528,23.7726,22.6908,22.15,22.2514,22.1162,24.1446,24.3137,24.3475,24.1108,23.9417,977.406,0.534077,0.0018892184873705038,3.5314259606135385,1.3070927734375,1.9531653562402282,nan,0.0011111111111111111
44,3458,2021-03-12 09:54:35,22.7584,25.4637,22.2514,19.2447,22.8598,25.3623,25.2946,17.2867,22.319,23.7726,22.7922,22.15,22.2514,22.15,24.2461,24.3137,24.3475,24.0432,24.0093,986.854,1.32313,0.004629179430751203,3.64220920335793,1.305940673828125,1.9569470491670597,nan,0.0008333333333333334
45,3460,2021-03-12 09:54:39,22.7584,25.4299,22.2514,19.1771,22.7246,25.3623,25.1931,17.1854,22.3528,23.8403,22.9612,22.1838,22.2514,22.15,24.1108,24.3137,24.3813,24.1784,24.077,979.768,1.32313,0.004577554938313679,3.5780083576090833,1.3009296875,1.99112465329586,nan,0.0011111111111111111
46,3463,2021-03-12 09:54:44,22.7922,25.4637,22.2514,19.2109,22.8598,25.3284,25.2269,17.1517,22.3528,23.8064,23.0626,22.15,22.2514,22.1162,24.2461,24.4152,24.4152,24.1108,24.0093,982.13,1.32313,0.0045259918506217545,3.624606407290615,1.3009097900390625,2.0298391428368596,nan,0.001388888888888889
47,3465,2021-03-12 09:54:47,22.7246,25.5314,22.2514,19.1771,22.8598,25.2946,25.2946,17.1517,22.3528,23.8741,23.1302,22.15,22.2176,22.15,24.1108,24.4152,24.3813,24.1446,24.0432,982.13,2.11217,0.007142968165376442,3.7013384957602784,1.3000804443359375,2.032504303284474,nan,0.0008333333333333334
