,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp,timeStamp_watt,entropy_kJ/K,entropy_kJ,nStratCharging,TotalTanksEnergyForAvailability_kJ,DisEntropy_kj/K,DisEntropy_kj,nStratDischarge,DisTotalTanksEnergyForAvailability_kJ
0,601,2021-05-13 10:32:07,23.6036,29.1872,25.3284,20.6632,24.5504,29.2211,25.8021,17.3542,26.7157,29.4581,29.492,28.8824,28.1374,27.088,29.3904,29.6953,29.6275,29.4581,29.4243,4.26027,1.32313,0.0037742613007578814,0.018866044011305053,0.005975947856903076,3.156994956668823,nan,0.0005555555555555556,0.0005555555555555556,7.480020231267084,160.35006753992727,-4282.277324256451,47305.966266184376,41.97025274212507,913.6399442069106,-0.9051748069538099,80166.10720425544
1,605,2021-05-13 10:32:14,23.6036,29.1872,25.2946,20.6294,24.5843,29.2549,25.8359,17.4217,26.7157,29.3904,29.492,28.8824,28.1036,27.088,29.4581,29.5598,29.5936,29.4581,29.6953,-0.463734,-0.25497,-0.000737084427673416,-0.002071572639417253,0.006096703052520752,0.47867451741608813,nan,0.0019444444444444444,0.0016666666666666668,8.790578195166079,192.99165129458015,-2608.1350955944695,47269.0604287181,47.659192128478196,1003.1446544204001,-0.17207740298295043,80141.43217886065
2,609,2021-05-13 10:32:20,23.5698,29.1872,25.2608,20.6294,24.5843,29.2211,25.7682,17.3542,26.6819,29.4243,29.492,28.8824,28.1036,27.088,29.4581,29.5598,29.4243,29.4243,29.5598,1.89827,2.11217,0.006106300232564223,0.008553900903940773,0.00571236276626587,0.8422463541606723,nan,0.0016666666666666668,0.0019444444444444444,-8.088882363416442,-174.12907206556895,16.790193588305105,47263.73241442091,58.08348999856869,1223.7680389164375,0.2188181537152252,80095.70481430019
3,612,2021-05-13 10:32:25,23.5698,29.2211,25.3623,20.6632,24.5843,29.2888,25.8021,17.3542,26.6819,29.3904,29.4243,28.8824,28.1036,27.0203,29.4581,29.6275,29.5598,29.4243,29.4243,-0.463734,1.32313,0.003926783267413193,-0.00205368058710601,0.11269605255126953,0.09859849401951788,nan,0.001388888888888889,0.001388888888888889,-59.86316945113703,-1304.618068701559,83.5018658388366,47247.87715490205,61.29285855048778,1310.358646003294,0.3999766458274092,80090.5287999017
4,615,2021-05-13 10:32:30,23.6036,28.8824,25.6329,20.4943,24.6181,29.2888,25.7682,17.4892,26.648,29.3565,29.4581,28.8824,28.1036,27.0542,29.4243,29.6275,29.492,29.4243,29.5598,592.399,1.32313,0.003977846964818273,2.2091352600379826,0.2617734375,4.998550947219036,nan,0.001388888888888889,0.0016666666666666668,-95.68246742739547,-2019.570771541345,152.3002264086351,47189.825766020374,66.81820708642798,1435.8439107791928,0.5219840064136503,80017.47527577348
5,618,2021-05-13 10:32:35,23.6036,27.9682,26.9526,19.7512,24.5843,29.2888,25.7682,18.1642,26.648,29.3227,29.4243,28.8824,28.1036,27.0203,29.4243,29.6614,29.492,29.4243,29.5259,826.237,-0.25497,-0.0007665396753302511,0.9629833561804113,0.25413638305664066,4.558670425678956,nan,0.001388888888888889,0.001388888888888889,-77.26517398177447,-1686.040059889685,146.50952254723222,47179.282467990524,69.98277234256791,1522.648084673383,0.5994958883239588,79963.5118534715
6,622,2021-05-13 10:32:42,23.6036,27.325,27.6635,19.0758,24.5843,29.3227,25.7344,18.333,26.6142,29.2888,29.4243,28.8824,28.1036,27.0203,29.4243,29.5936,29.3565,29.4243,29.3904,911.27,1.32313,0.004079624535021549,-0.3539950551450055,0.2553695526123047,2.5463267474159075,nan,0.0019444444444444444,0.0019444444444444444,-68.77920484043096,-1445.031841296598,144.76678901899422,47163.50157034566,70.97508562957724,1510.4284067003734,0.6735409729586764,79883.07441520088
7,626,2021-05-13 10:32:49,23.5698,27.6296,27.8666,18.7382,24.5843,29.3227,25.7682,18.3668,26.6142,29.3904,29.4243,28.8824,28.1036,27.0203,29.3904,29.5259,29.2549,29.4243,29.4243,930.166,2.11217,0.006512482185527095,-0.25299998548614866,0.25253147888183597,1.7843362004908718,nan,0.0019444444444444444,0.001388888888888889,-61.528565207390145,-1307.731725679485,145.85870987099133,47126.573108102166,76.86898292741837,1666.7128094280574,0.7152479041897968,79776.3805583877
8,630,2021-05-13 10:32:55,23.5698,27.765,28.002,18.6031,24.5504,29.3565,25.7344,18.4006,26.5465,29.3565,29.5259,28.9501,28.1374,27.0542,29.3227,29.3904,29.3565,29.3565,29.2888,946.7,1.32313,0.004232300812716265,-0.2574971416497022,0.2518583679199219,1.219629032383713,nan,0.0016666666666666668,0.0019444444444444444,-62.77868542125405,-1332.8038587911474,165.3162007810215,47216.379582729634,78.58024939786057,1723.5181522192293,0.7434237298138313,79710.59413969543
9,634,2021-05-13 10:33:02,23.6036,27.8666,28.002,18.5356,24.5166,29.3227,25.7682,18.333,26.5465,29.3565,29.4243,28.9501,28.1713,27.0542,29.2888,29.3565,29.1872,29.2549,29.4581,946.7,2.11217,0.006675264184404768,-0.14710332555917718,0.25016783142089843,0.9048955803365608,nan,0.0019444444444444444,0.0019444444444444444,-56.85676591936748,-1238.7139842327424,173.16709020516018,47105.55294323744,81.46686806258184,1764.5589338521145,0.7752430705327916,79639.64159756036
