,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP,nDis,timeStamp_Temp,entropy_kJ/K,entropy_kJ,nStratCharging,TotalTanksEnergyForAvailability_kJ
0,7285,2021-03-30 12:28:25,24.821,30.0679,23.2655,22.5556,22.995,31.3555,29.7969,20.089,22.995,25.3284,24.821,23.6712,22.9612,22.7246,31.0505,30.0679,28.7469,27.5281,26.3096,-5.18774,19.4712,0.18477065618439031,-0.0404295701707981,0.005433619499206543,-7.440632611555114,nan,0.0005555555555555556,225.5356386459669,5481.700303453158,-474.7764088496375,43036.39346243621
1,7287,2021-03-30 12:28:28,24.821,30.0679,23.2655,22.5556,22.995,31.2199,29.7969,20.1227,22.995,25.3623,24.8548,23.6374,22.9274,22.6908,31.186,30.0679,29.0179,27.5281,26.3773,-0.463734,20.2603,0.1891779569536144,-0.0036140142515979773,0.005395047187805176,-2.8261453937934746,nan,0.0008333333333333334,98.17482595400438,2368.9465117367563,-75.04772368587605,43010.197473532
2,7289,2021-03-30 12:28:32,24.8548,30.1018,23.2317,22.5556,23.0288,31.2877,29.8307,20.0552,22.9612,25.3623,24.821,23.6712,22.9612,22.7246,31.1182,30.034,28.8824,27.4942,26.3096,4.26027,19.4712,0.1840374667091566,0.03353038146169834,0.00582909631729126,0.8495156428250793,nan,0.0011111111111111111,37.10059988653093,926.1648905391401,-20.958034146881385,43020.562028611894
3,7291,2021-03-30 12:28:35,24.821,30.0679,23.2317,22.5556,23.0626,31.3216,29.8307,20.089,23.0288,25.3284,24.821,23.6374,22.9612,22.6908,31.0505,30.034,29.0517,27.5619,26.2419,-0.463734,18.6822,0.17585663081776273,-0.003631971690399578,0.005839602470397949,0.4301143010001272,nan,0.0008333333333333334,-5.818378546947638,-145.32803830559646,3.97786869980757,43052.19311318569
4,7293,2021-03-30 12:28:39,24.821,30.0679,23.2655,22.5556,23.1302,31.2538,29.763,20.089,23.0288,25.3623,24.821,23.6374,22.9612,22.7246,31.1521,30.034,28.9163,27.5619,26.445,-5.18774,18.6822,0.17443613836216748,-0.0404295701707981,0.006026848316192627,-1.3366851251952807,nan,0.0011111111111111111,-88.7093708791287,-2160.0139587022886,40.36657424797266,43057.86422460713
5,7295,2021-03-30 12:28:42,24.821,30.0679,23.2317,22.5556,22.995,31.3216,29.7969,20.089,23.0288,25.3284,24.821,23.6712,22.9612,22.7246,31.0505,30.0679,28.9163,27.4604,26.2419,-0.463734,19.4712,0.18328353352275542,-0.003631971690399578,0.0057908201217651365,-1.2292940680751279,nan,0.0008333333333333334,-142.9113231934179,-3577.5270628360436,61.11405858005826,43062.54553545425
6,7298,2021-03-30 12:28:47,24.821,30.0679,23.2993,22.5894,23.0964,31.3555,29.7969,20.089,23.0288,25.3284,24.821,23.6374,22.9612,22.7246,31.0505,30.0679,28.7469,27.5281,26.445,-2.82574,20.2603,0.19148150043246087,-0.021912392833372648,0.006002446174621582,-1.8060720221961934,nan,0.001388888888888889,-172.40525366767693,-4422.442950004626,72.45657572047355,43105.05873266518
7,7300,2021-03-30 12:28:51,24.821,30.1018,23.2993,22.5556,23.0626,31.3216,29.8307,20.1227,22.995,25.3284,24.8548,23.6374,22.9612,22.7246,31.0505,30.0679,29.0179,27.5619,26.445,-0.463734,19.4712,0.18403056509629742,-0.0036140673801151415,0.0063991866111755375,-1.612779604486777,nan,0.0011111111111111111,-192.8128435047592,-4696.424555008024,74.52307965742922,43142.59116777527
8,7302,2021-03-30 12:28:54,24.821,30.0679,23.2655,22.6232,23.0626,31.3216,29.7291,20.089,22.9612,25.3284,24.821,23.6374,22.9612,22.7246,31.0843,30.034,28.7131,27.4942,26.1743,-0.463734,21.0493,0.19975343407609447,-0.0036140142515979773,0.006026863098144531,-1.4640269329837303,nan,0.0008333333333333334,-204.60933879570126,-5056.929402624035,78.1007593663583,43201.163968228146
9,7304,2021-03-30 12:28:57,24.821,30.0679,23.2993,22.5218,23.0626,31.3555,29.7969,20.089,22.9612,25.3284,24.821,23.6712,22.9612,22.6908,31.0166,30.0679,29.0179,27.5281,26.3435,-0.463734,19.4712,0.18551765076354612,-0.0035960568127963765,0.0056402902603149415,-1.3959456127737147,nan,0.0008333333333333334,-202.7748255601376,-5158.235633075029,79.28211961685648,43148.48695690812
