,id,dateTime,Tamb,TtopTestTankHPCir,TbottomTestTankHpCir,TtopSourceTank,TloadTankMix,TTopTestTankLoadCir,TloadMix,TbottomSourceTank,TbottomTestTankLoadCir,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,flowHP,flowLoad,Load_kW,Heat_Capacity_kW,electrcity_kW,COP
0,11457,2021-03-04 13:41:38,24.8887,27.3927,25.4976,19.7174,38.2422,26.2419,27.1219,15.8695,26.6819,25.3961,25.5652,25.5991,25.6329,25.5314,26.3096,25.5652,25.4976,25.5314,25.4976,1.89827,2.11217,-0.0010619563174891287,0.004121050316523313,0.00547071361541748,0.7532935060574062
1,11460,2021-03-04 13:41:43,24.8887,27.3927,25.4976,19.7174,38.2083,26.2081,27.088,15.8358,26.6819,25.3961,25.5652,25.4976,25.6329,25.5652,26.3435,25.5991,25.4976,25.2946,25.5314,1.89827,2.90122,-0.0015707274211510475,0.004121050316523313,0.0050178756713867186,0.8006299111611446
2,11462,2021-03-04 13:41:47,24.8887,27.3927,25.5314,19.6837,38.2422,26.2419,27.1896,15.8695,26.6819,25.4299,25.5652,25.5652,25.6329,25.5314,26.4111,25.5991,25.5314,25.2946,25.5314,6.62228,1.32313,-0.0006652429787182806,0.014120228282524664,0.004678384304046631,1.5586682631622162
3,11464,2021-03-04 13:41:50,24.8887,27.3927,25.4637,19.7174,38.1743,26.3096,27.1219,15.8695,26.6819,25.3961,25.5314,25.5652,25.6329,25.4637,26.3773,25.5314,25.5314,25.4637,25.4976,1.89827,2.11217,-0.0008985598568209177,0.004194768645756671,0.005501214027404785,1.3742506808689687
4,11466,2021-03-04 13:41:54,24.8887,27.3927,25.4299,19.7174,38.2422,26.3096,27.088,15.8358,26.6819,25.3961,25.5652,25.5652,25.5991,25.4299,26.4111,25.5314,25.5314,25.5991,25.4976,-2.82574,0.534077,-0.0002272071626106541,-0.006353690415156423,0.005622902870178223,0.7733960121900086
5,11470,2021-03-04 13:42:00,24.9225,27.3927,25.5314,19.7174,38.2083,26.2419,27.1219,15.8695,26.7157,25.3961,25.5314,25.5652,25.6329,25.4637,26.4111,25.4976,25.4976,25.2946,25.4976,1.89827,1.32313,-0.0007163115244808691,0.004047358809173885,0.0050299673080444335,0.8500125591459424
6,11473,2021-03-04 13:42:06,24.9225,27.3927,25.4637,19.7512,38.1743,26.2758,27.1557,15.8695,26.648,25.3961,25.5314,25.5314,25.6329,25.4637,26.3773,25.6329,25.4976,25.5652,25.4976,-0.463734,2.90122,-0.0012339652652686936,-0.0010247041902063086,0.005202317237854004,0.624744136957814
7,11475,2021-03-04 13:42:09,24.9225,27.3588,25.4299,19.7512,38.1743,26.2419,27.1557,15.8695,26.6819,25.3961,25.5314,25.5314,25.6329,25.4637,26.3773,25.5991,25.4976,25.2946,25.4976,-0.463734,2.11217,-0.0010619563174891287,-0.001024651069201112,0.004924314498901367,0.5159835316732421
8,11477,2021-03-04 13:42:12,24.9225,27.3588,25.4637,19.6837,38.1743,26.2081,27.1219,15.8695,26.6819,25.3961,25.5314,25.5314,25.6329,25.4299,26.445,25.5991,25.5314,25.2608,25.4976,-0.463734,-0.25497,0.00013804136555341633,-0.0010066961694452942,0.005009311676025391,0.4576569472605711
9,11480,2021-03-04 13:42:18,24.9225,27.3927,25.4637,19.6837,38.1743,26.2081,27.1219,15.8695,26.648,25.3961,25.5314,25.5652,25.6329,25.4637,26.445,25.6329,25.5314,25.2608,25.4976,4.26027,0.534077,-0.00026847493195447306,0.009413837502555842,0.004360763549804687,0.682830620821126
